product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.sale_permitted | food.allergens.contains | food.allergens.may_contain | food.ingredients | identifiers.gtin | origin.country | pack.net_quantity | pack.unit | packaging.recyclable_pct | specs.battery_type | image.PACK_FRONT | image.DETAIL | example_note
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Permitted for sale | Allergens - contains | Allergens - may contain | Ingredients | GTIN | Country of origin | Net quantity | Net quantity unit | Recyclable packaging (%) | Cell type | Image - pack_front | Image - detail | What this row demonstrates
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; applies to baby.feeding.bottles, baby.toys.activity, baby.toys.soft only | optional; safety - a person reviews any change; true or false | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant | optional | optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only | optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only | optional; the number only, in % - never '65 %' | optional; safety - a person reviews any change; applies to baby.toys.activity, baby.toys.soft only | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | ignored on the way in; delete the column or leave it
PRD-110 | Hollowbrook Follow-On Milk 800 g | BAB-110-A | Hollowbrook Follow-On Milk 800 g | true | baby.feeding.formula | peanut-free / gluten-free / recyclable-packaging |  | true | milk |  | skimmed milk / lactose / vegetable oils / whey protein | 5000000000074 | India | 310.0 | g | 95 |  | bab-110-a-pack_front.svg | bab-110-a-detail.svg | 
PRD-134 | Larkspur Anti-Colic Bottle 260 ml | BAB-134-A | Larkspur Anti-Colic Bottle 260 ml | true | baby.feeding.bottles |  | DOC-CE-2857 | true |  |  |  | 5000000000242 | Turkey | 720.0 | g | 20 |  | bab-134-a-pack_front.svg | bab-134-a-detail.svg | 
PRD-142 | Larkspur Silicone Teat 2 Pack | BAB-142-A | Larkspur Silicone Teat 2 Pack | true | baby.feeding.bottles |  | DOC-CE-2738 | true |  |  |  | 5000000000298 | Italy | 410.0 | g |  |  | bab-142-a-pack_front.svg | bab-142-a-detail.svg | 
PRD-142 | Larkspur Silicone Teat 2 Pack | BAB-142-B | Larkspur Silicone Teat 2 Pack Multipack | false | baby.feeding.bottles | recyclable-packaging | DOC-CE-2445 | true |  |  |  | 5000000000305 | Viet Nam | 700.0 | g | 90 |  | bab-142-b-pack_front.svg | bab-142-b-detail.svg | 
PRD-142 | Larkspur Silicone Teat 2 Pack | BAB-142-C | Larkspur Silicone Teat 2 Pack Large Pack | false | baby.feeding.bottles | made-in-britain |  | true |  |  |  | 5000000000312 | United Kingdom | 1050.0 | g | 60 |  | bab-142-c-pack_front.svg | bab-142-c-detail.svg | 
PRD-158 | Larkspur Newborn Nappies Size 1 | BAB-158-A | Larkspur Newborn Nappies Size 1 | true | baby.nappies.nappies |  |  | true |  |  |  | 5000000000410 | China | 1100.0 | ml |  |  |  | bab-158-a-detail.svg | 
PRD-142 | Larkspur Silicone Teat 2 Pack | BAB-142-C-EG1 | Larkspur Silicone Teat 2 Pack Large Pack | false | baby.feeding.bottles | made-in-britain |  | true |  |  |  | 5000000000312 | United Kingdom | 1050.0 | g | 60 |  | bab-142-c-pack_front.svg | bab-142-c-detail.svg | MISSING_MANDATORY - food.ingredients is blank, and a channel refuses the listing without it
PRD-134 | Larkspur Anti-Colic Bottle 260 ml | BAB-134-A-EG2 | Larkspur Anti-Colic Bottle 260 ml | true | baby.feeding.bottles |  | DOC-CE-2857 | true |  |  |  | 5000000000242 | Turkey | 720.0 | g | 20 % |  | bab-134-a-pack_front.svg | bab-134-a-detail.svg | WRONG_TYPE - the unit is in the cell. packaging.recyclable_pct is a number; '20 %' is a string
PRD-142 | Larkspur Silicone Teat 2 Pack | BAB-142-A-EG3 | Larkspur Silicone Teat 2 Pack | true | baby.feeding.bottles |  | DOC-CE-2738 | true |  |  |  | 5000000000298 | Italy | 410.0 | g |  |  | bab-142-a-pack_front.svg | bab-142-a-detail.svg | FOREIGN_VOCABULARY - this row is fine, but a file whose header reads 'netContent' instead of 'pack.net_quantity' is rejected with the column named. Rename the column to see it
PRD-158 | Larkspur Newborn Nappies Size 1 | BAB-158-A-EG4 | Larkspur Newborn Nappies Size 1 | true | baby.nappies.nappies |  |  | true |  |  |  | 500000X000410 | China | 1100.0 | ml |  |  |  | bab-158-a-detail.svg | BROKEN_FORMAT - a 13-character GTIN with a letter in it, which is what a spreadsheet export produces when the column was typed as text and edited by hand
PRD-134 | Larkspur Anti-Colic Bottle 260 ml | BAB-134-A-EG5 | Larkspur Anti-Colic Bottle 260 ml | true | baby.feeding.bottles |  | DOC-CE-2857 | true |  |  |  | 5000000000242 | Turkey | 720.0 | g | 20 |  |  |  | MISSING_MEDIA - image.PACK_FRONT, image.DETAIL is blank, and this category cannot launch without it
