product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.fibre_g,food.ingredients,food.net_weight_g,identifiers.gtin,origin.country,pack.net_quantity,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.INGREDIENT_PANEL,image.DETAIL,example_note
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Allergens - contains,Allergens - may contain,Fibre (g),Ingredients,Net weight (g),GTIN,Country of origin,Net quantity,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - ingredient_panel,Image - detail,What this row demonstrates
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,ignored on the way in; delete the column or leave it
PRD-104,Ashcombe All Butter Shortbread Fingers,FOO-104-A,Ashcombe All Butter Shortbread Fingers,true,food.bakery.biscuits,peanut-free,,true,gluten | milk | egg,nuts,0.5,wheat flour | butter | sugar | eggs | salt,,5000000000032,Italy,200.0,g,70,foo-104-a-pack_front.svg,foo-104-a-ingredient_panel.svg,foo-104-a-detail.svg,
PRD-120,Ashcombe Oat & Raisin Cookies,FOO-120-A,Ashcombe Oat & Raisin Cookies,true,food.bakery.biscuits,peanut-free,,true,gluten | milk | egg,nuts,2.8,wheat flour | butter | sugar | eggs | salt,490,5000000000144,Portugal,100.0,ml,60,foo-120-a-pack_front.svg,foo-120-a-ingredient_panel.svg,foo-120-a-detail.svg,
PRD-120,Ashcombe Oat & Raisin Cookies,FOO-120-B,Ashcombe Oat & Raisin Cookies Multipack,false,food.bakery.biscuits,peanut-free,,true,gluten | milk | egg,nuts,,wheat flour | butter | sugar | eggs | salt,450,5000000000151,Italy,910.0,ml,55,foo-120-b-pack_front.svg,foo-120-b-ingredient_panel.svg,foo-120-b-detail.svg,
PRD-136,Ashcombe Wholemeal Seeded Batch Loaf,FOO-136-A,Ashcombe Wholemeal Seeded Batch Loaf,true,food.bakery.bread,peanut-free,,true,gluten,sesame,0.7,wheat flour | water | yeast | salt,400,5000000000256,Republic of Ireland,410.0,g,30,foo-136-a-pack_front.svg,foo-136-a-ingredient_panel.svg,foo-136-a-detail.svg,
PRD-136,Ashcombe Wholemeal Seeded Batch Loaf,FOO-136-B,Ashcombe Wholemeal Seeded Batch Loaf Multipack,false,food.bakery.bread,peanut-free,,true,gluten,sesame,0.6,wheat flour | water | yeast | salt,110,5000000000263,Portugal,730.0,g,35%,foo-136-b-pack_front.svg,foo-136-b-ingredient_panel.svg,foo-136-b-detail.svg,
PRD-136,Ashcombe Wholemeal Seeded Batch Loaf,FOO-136-C,Ashcombe Wholemeal Seeded Batch Loaf Large Pack,false,food.bakery.bread,peanut-free | high-fibre,,true,gluten,sesame,7.6,wheat flour | water | yeast | salt,580 g,5000000000270,Turkey,430.0,g,60,foo-136-c-pack_front.svg,foo-136-c-ingredient_panel.svg,foo-136-c-detail.svg,
PRD-136,Ashcombe Wholemeal Seeded Batch Loaf,FOO-136-B-EG1,Ashcombe Wholemeal Seeded Batch Loaf Multipack,false,food.bakery.bread,peanut-free,,true,gluten,sesame,0.6,,110,5000000000263,Portugal,730.0,g,35%,foo-136-b-pack_front.svg,foo-136-b-ingredient_panel.svg,foo-136-b-detail.svg,"MISSING_MANDATORY - food.ingredients is blank, and a channel refuses the listing without it"
PRD-120,Ashcombe Oat & Raisin Cookies,FOO-120-A-EG2,Ashcombe Oat & Raisin Cookies,true,food.bakery.biscuits,peanut-free,,true,gluten | milk | egg,nuts,2.8 g,wheat flour | butter | sugar | eggs | salt,490,5000000000144,Portugal,100.0,ml,60,foo-120-a-pack_front.svg,foo-120-a-ingredient_panel.svg,foo-120-a-detail.svg,WRONG_TYPE - the unit is in the cell. food.fibre_g is a number; '2.8 g' is a string
