product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,identifiers.gtin,origin.country,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,example_note
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Energy class,GTIN,Country of origin,Coverage area (m²),Filter type,Sound level (dB),Plug and supply,Rated power (W),Care instructions,Fibre composition,Image - hero,Image - in_situ,Image - detail,What this row demonstrates
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B; 14 digits, kept as text - leading zeros are significant",optional,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB'","optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W'","optional; applies to home.textiles.bedding, home.textiles.towels only","optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,ignored on the way in; delete the column or leave it
PRD-115,Dewpoint Cool Mist Humidifier 2 L,HOM-115-A,Dewpoint Cool Mist Humidifier 2 L,true,home.air-treatment.humidifiers,,DOC-CE-2559,,true,A,5000000000109,Republic of Ireland,80,HEPA H12,50,BS 1363 Type G (fused 13 A),1160,,,hom-115-a-hero.svg,hom-115-a-in_situ.svg,hom-115-a-detail.svg,
PRD-115,Dewpoint Cool Mist Humidifier 2 L,HOM-115-B,Dewpoint Cool Mist Humidifier 2 L Plus,false,home.air-treatment.humidifiers,,UKCA-2643,,true,A,5000000000116,Republic of Ireland,70,,56,BS 1363 Type G,1360,,,hom-115-b-hero.svg,,hom-115-b-detail.svg,
PRD-163,Kestrel 900 W Combination Microwave,HOM-163-A,Kestrel 900 W Combination Microwave,true,home.kitchen.microwaves,,UKCA-2853,,true,B,5000000000445,Republic of Ireland,,,62,USB-C 5 V,420,,,hom-163-a-hero.svg,hom-163-a-in_situ.svg,hom-163-a-detail.svg,
PRD-163,Kestrel 900 W Combination Microwave,HOM-163-B,Kestrel 900 W Combination Microwave Plus,false,home.kitchen.microwaves,,EN71-3-2987,,true,B,5000000000452,Portugal,,,51,BS 1363 Type G (fused 13 A),300,,,hom-163-b-hero.svg,hom-163-b-in_situ.svg,hom-163-b-detail.svg,
PRD-163,Kestrel 900 W Combination Microwave,HOM-163-C,Kestrel 900 W Combination Microwave Max,false,home.kitchen.microwaves,,DOC-CE-2921,,true,,5000000000459,Viet Nam,,,51,BS 1363 Type G,180,,,,hom-163-c-in_situ.svg,hom-163-c-detail.svg,
PRD-171,Dustline Cordless Stick Vacuum,HOM-171-A,Dustline Cordless Stick Vacuum,true,home.floorcare.vacuums,,DOC-CE-2629,,true,B,5000000000501,Portugal,,,,USB-C 5 V,460,,,hom-171-a-hero.svg,hom-171-a-in_situ.svg,hom-171-a-detail.svg,
PRD-171,Dustline Cordless Stick Vacuum,HOM-171-A-EG1,Dustline Cordless Stick Vacuum,true,home.floorcare.vacuums,,DOC-CE-2629,,true,B,,Portugal,,,,USB-C 5 V,460,,,hom-171-a-hero.svg,hom-171-a-in_situ.svg,hom-171-a-detail.svg,"MISSING_MANDATORY - identifiers.gtin is blank, and a channel refuses the listing without it"
PRD-115,Dewpoint Cool Mist Humidifier 2 L,HOM-115-B-EG2,Dewpoint Cool Mist Humidifier 2 L Plus,false,home.air-treatment.humidifiers,,UKCA-2643,,true,A,5000000000116,Republic of Ireland,70 m²,,56,BS 1363 Type G,1360,,,hom-115-b-hero.svg,,hom-115-b-detail.svg,WRONG_TYPE - the unit is in the cell. specs.coverage_m2 is a number; '70 m²' is a string
