Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
NAV-AP300-MAX,Northaven AP300 Air Purifier,12,191.29,GBP,39
NAV-FAN-V2,Northaven Desk Fan V2,6,201.68,GBP,28
NAV-AP300-STD,Northaven AP300 Air Purifier,12,172.78,GBP,45
NOR-901-A,Northaven Tower Fan,12,173.31,GBP,9
NOR-902-A,Northaven Carbon Filter Purifier,24,238.63,GBP,26
NOR-902-B,Northaven Carbon Filter Purifier,12,146.67,GBP,21
NOR-903-A,Northaven Bedroom Humidifier,6,11.45,GBP,12
NOR-903-B,Northaven Bedroom Humidifier,1,125.06,GBP,12
NOR-904-A,Northaven Chef's Knife,24,162.63,GBP,42
NOR-904-B,Northaven Chef's Knife,12,181.10,GBP,37
NOR-905-A,Northaven Non Stick Frying Pan,24,220.75,GBP,26
NOR-906-A,Northaven Cordless Stick Vacuum,6,216.74,GBP,18
