product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,GTIN_14,countryOfOrigin,Buyer,food.net_weight_g
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Energy class,Coverage area (m²),Filter type,Sound level (dB),Plug and supply,Rated power (W),Care instructions,Fibre composition,Image - hero,Image - in_situ,Image - detail,GTIN,Country of origin,Buyer,Net weight
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB'","optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W'","optional; applies to home.textiles.bedding, home.textiles.towels only","optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-01,Northaven AP300 Air Purifier,NAV-AP300-MAX,Northaven AP300 Max,false,home.air-treatment.purifiers,ultra-quiet | low-energy,UKCA-2411,,true,A,65,HEPA H13 ,38,BS 1363 Type G,45,,,nav-ap300-max-hero.svg,nav-ap300-max-in_situ.svg ,nav-ap300-max-detail.svg,05012345600025,United Kingdom,A. Whitfield,450
PRD-06,Northaven Desk Fan V2,NAV-FAN-V2,Northaven Desk Fan V2,true,home.air-treatment.fans,,UKCA-2419,,Y,A,22,Not applicable,42,BS 1363 Type G,28,,,nav-fan-v2-hero.svg,nav-fan-v2-in_situ.svg,nav-fan-v2-detail.svg,05012345600032, China,,450
PRD-01,Northaven AP300 Air Purifier,NAV-AP300-STD,Northaven AP300,TRUE,home.air-treatment.purifiers,clinically proven ,UKCA-2411,,FALSE,A ,40,HEPA H13,38,BS 1363 Type G, 45,,,nav-ap300-std-hero.svg,nav-ap300-std-in_situ.svg,nav-ap300-std-detail.svg,05012345600018 ,United Kingdom,R. Okonjo,
PRD-NOR901,Northaven Tower Fan,NOR-901-A,Northaven Tower Fan ,true,home.air-treatment.fans,made-in-britain,CE-2024-54013,,true ,A,39,Not applicable,58,USB-C 5 V,1698,,,nor-901-a-hero.svg,nor-901-a-in_situ.svg,nor-901-a-detail.svg,03429783150758,Poland,,
PRD-NOR902,Northaven Carbon Filter Purifier,NOR-902-A,Northaven Carbon Filter Purifier,true,home.air-treatment.purifiers,,CE-2026-71032 ,,Y,C,23,Washable mesh,63,BS 1363 Type G (fused 13 A) ,181,,,nor-902-a-hero.svg, nor-902-a-in_situ.svg,nor-902-a-detail.svg,05537946207654,Vietnam,A. Whitfield,
PRD-NOR902,Northaven Carbon Filter Purifier,NOR-902-B, Northaven Carbon Filter Purifier Pro,false ,home.air-treatment.purifiers,ultra-quiet | low-energy, CE-2025-66583,,Y,B,72,HEPA H12,49,BS 1363 Type G,1960,,,nor-902-b-hero.svg,nor-902-b-in_situ.svg,nor-902-b-detail.svg,03686365076170,Netherlands,,
PRD-NOR903,Northaven Bedroom Humidifier,NOR-903-A,Northaven Bedroom Humidifier,true,home.air-treatment.humidifiers,ultra-quiet,CE-2026-39623,,,C,20 m2,HEPA H13 ,61,BS 1363 Type G,28,,,nor-903-a-hero.svg,nor-903-a-in_situ.svg,nor-903-a-detail.svg, 02368679087535,Czechia,R. Okonjo,
 PRD-NOR903,Northaven Bedroom Humidifier,NOR-903-B,Northaven Bedroom Humidifier Refill,false,home.air-treatment.humidifiers ,made-in-britain,CE-2025-69017,,true,C,20 m2,Not applicable,56,BS 1363 Type G (fused 13 A),458,,,nor-903-b-hero.svg,nor-903-b-in_situ.svg,nor-903-b-detail.svg,06142059602915,Vietnam,,
PRD-NOR904,Northaven Chef's Knife,NOR-904-A,Northaven Chef's Knife,true,home.cookware.knives, ultra-quiet | low-energy,,16,true,,,,,,,,,nor-904-a-hero.svg,nor-904-a-in_situ.svg,nor-904-a-detail.svg,04426451180864 ,Vietnam,A. Whitfield,
PRD-NOR904 ,Northaven Chef's Knife,NOR-904-B,Northaven Chef's Knife Value Pack,false,home.cookware.knives,ultra-quiet | low-energy,,16,true,,,,,,,,,nor-904-b-hero.svg ,nor-904-b-in_situ.svg,nor-904-b-detail.svg,06634993872266,Netherlands ,,
PRD-NOR905,Northaven Non Stick Frying Pan,NOR-905-A,Northaven Non Stick Frying Pan,true,home.cookware.pans,made-in-britain,,,true,,,,,,,,,nor-905-a-hero.svg,nor-905-a-in_situ.svg,nor-905-a-detail.svg, 07405909241596,India,R. Okonjo,
PRD-NOR906,Northaven Cordless Stick Vacuum,NOR-906-A,Northaven Cordless Stick Vacuum,true,home.floorcare.vacuums,,CE-2025-18814,,true, B,,,40,BS 1363 Type G,2998,,, nor-906-a-hero.svg,nor-906-a-in_situ.svg,nor-906-a-detail.svg,01877104527575,United Kingdom,,
