Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HRF-GRC-300,Harrowfield Granola Clusters,6,238.91,GBP,17
HRF-TMB-6PK,Harrowfield Trail Mix Bar,12,129.62,GBP,21
HRF-TMB-40,Harrowfield Trail Mix Bar,24,230.91,GBP,24
HAR-901-A,Harrowfield Oat & Honey Bar,1,166.24,GBP,25
HAR-901-B,Harrowfield Oat & Honey Bar,24,16.10,GBP,9
HAR-902-A,Harrowfield Toasted Oat Granola,12,150.58,GBP,12
HAR-903-A,Harrowfield Session IPA,12,237.13,GBP,7
HAR-903-B,Harrowfield Session IPA,12,46.65,GBP,3
HAR-904-A,Harrowfield Spiced Rum,12,154.42,GBP,45
HAR-904-B,Harrowfield Spiced Rum,12,118.56,GBP,42
HAR-905-A,Harrowfield Rioja Crianza,12,49.85,GBP,35
HAR-906-A,Harrowfield Porridge Oats,12,124.35,GBP,24
HAR-906-B,Harrowfield Porridge Oats,12,137.59,GBP,34
