Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
CAL-BT200,Calverton BT-200 Earbuds,12,165.69,GBP,45
CAL-901-A,Calverton Sport Earbuds,12,86.45,GBP,36
CAL-901-B,Calverton Sport Earbuds,24,36.27,GBP,3
CAL-902-A,Calverton Noise Cancelling Headphones,6,223.75,GBP,45
CAL-902-B,Calverton Noise Cancelling Headphones,1,183.32,GBP,26
CAL-903-A,Calverton Compact Soundbar,6,42.08,GBP,24
CAL-903-B,Calverton Compact Soundbar,12,190.63,GBP,9
CAL-904-A,Calverton Party Speaker,1,38.06,GBP,39
CAL-905-A,Calverton Gaming Laptop,1,1.05,GBP,4
CAL-905-B,Calverton Gaming Laptop,1,24.50,GBP,43
CAL-906-A,Calverton 10 inch Tablet,12,133.38,GBP,37
