product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.export_control,compliance.sale_permitted,energy.class,specs.battery_type,specs.plug_type,specs.power_w,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,Buyer,specs.noise_db
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Export control classification,Permitted for sale,Energy class,Cell type,Plug and supply,Rated power (W),Image - hero,Image - detail,GTIN,Country of origin,Buyer,Sound level
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'",optional,"optional; safety - a person reviews any change; applies to electronics.personal.cameras, electronics.personal.drones only",optional; safety - a person reviews any change; true or false,"optional; applies to electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, electronics.vision.televisions only","optional; safety - a person reviews any change; applies to electronics.audio.earbuds, electronics.audio.headphones, electronics.audio.soundbars, electronics.audio.speakers, and 4 more only","optional; safety - a person reviews any change; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only; the number only, in W - never '65 W'",required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-03, Calverton BT-200 Earbuds,CAL-BT200,Calverton BT-200 Earbuds,true,electronics.audio.earbuds,,UKCA-2478,,true,,Lithium polymer 3.8 V,,,cal-bt200-hero.svg,cal-bt200-detail.svg ,05033445500012,Viet Nam,A. Whitfield,62
PRD-CAL901,Calverton Sport Earbuds,CAL-901-A,Calverton Sport Earbuds,true,electronics.audio.earbuds,low-energy | made-in-britain ,CE-2024-63623,,true,,2 x AA alkaline,,,cal-901-a-hero.svg,cal-901-a-detail.svg,09225294215473,Italy,,62
PRD-CAL901,Calverton Sport Earbuds,CAL-901-B,Calverton Sport Earbuds Single,false,electronics.audio.earbuds,low-energy,CE-2026-37362,,true,,2 x AA alkaline,,,cal-901-b-hero.svg,cal-901-b-detail.svg,00072219963450,Germany,R. Okonjo,
PRD-CAL902,Calverton Noise Cancelling Headphones,CAL-902-A,Calverton Noise Cancelling Headphones ,true,electronics.audio.headphones,low-energy | made-in-britain,CE-2026-63994,,true,,Lithium polymer 3.8 V,,,cal-902-a-hero.svg,cal-902-a-detail.svg,06923067901330,,,
PRD-CAL902,Calverton Noise Cancelling Headphones,CAL-902-B,Calverton Noise Cancelling Headphones Compact,false,electronics.audio.headphones,low-energy | made-in-britain,CE-2025-78226,,true,,Lithium polymer 3.8 V,,,cal-902-b-hero.svg,cal-902-b-detail.svg,05208717795395,Germany,A. Whitfield ,
PRD-CAL903,Calverton Compact Soundbar,CAL-903-A,Calverton Compact Soundbar,true, electronics.audio.soundbars,low-energy | made-in-britain,CE-2025-27078 ,,,,2 x AA alkaline,BS 1363 Type G (fused 13 A),173 ,cal-903-a-hero.svg,cal-903-a-detail.svg,03242773745380,Republic of Ireland,,
PRD-CAL903,Calverton Compact Soundbar,CAL-903-B,Calverton Compact Soundbar Starter,false,electronics.audio.soundbars,low-energy | made-in-britain,CE-2026-51616,,true,,2 x AA alkaline,BS 1363 Type G,18,cal-903-b-hero.svg,cal-903-b-detail.svg,01397637385379,Germany,R. Okonjo,
PRD-CAL904,Calverton Party Speaker ,CAL-904-A,Calverton Party Speaker,true,electronics.audio.speakers,low-energy,CE-2025-78560 ,,true,,Lithium polymer 3.8 V,,,cal-904-a-hero.svg,cal-904-a-detail.svg,04011440661133,United Kingdom,,
PRD-CAL905,Calverton Gaming Laptop,CAL-905-A,Calverton Gaming Laptop,true,electronics.computing.laptops,low-energy,CE-2026-54113,,true,B,,BS 1363 Type G (fused 13 A),203 ,cal-905-a-hero.svg,cal-905-a-detail.svg,09061154926432,China,A. Whitfield,
PRD-CAL905,Calverton Gaming Laptop,CAL-905-B,Calverton Gaming Laptop Deluxe,false ,electronics.computing.laptops,made-in-britain,CE-2024-96651,,TRUE,A,,BS 1363 Type G,16,cal-905-b-hero.svg ,cal-905-b-detail.svg,00188140909385 ,Republic of Ireland,,
PRD-CAL906,Calverton 10 inch Tablet,CAL-906-A,Calverton 10 inch Tablet,true,electronics.computing.tablets,,CE-2024-10750,,true,A,,BS 1363 Type G,202,cal-906-a-hero.svg,cal-906-a-detail.svg ,00595820101593,Portugal,R. Okonjo,
