Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
STB-KET-17,Stonebridge Rapid Kettle,1,32.72,GBP,15
STO-901-A,Stonebridge Traditional Kettle,6,63.53,GBP,9
STO-902-A,Stonebridge Bladeless Fan,1,132.19,GBP,30
STO-902-B,Stonebridge Bladeless Fan,12,87.77,GBP,35
STO-903-A,Stonebridge Evaporative Humidifier,12,22.57,GBP,23
STO-904-A,Stonebridge Large Room Purifier,24,35.42,GBP,23
STO-905-A,Stonebridge Santoku Knife,12,133.28,GBP,45
STO-905-B,Stonebridge Santoku Knife,24,125.98,GBP,40
STO-906-A,Stonebridge Casserole Dish,12,20.97,GBP,15
STO-906-B,Stonebridge Casserole Dish,6,69.47,GBP,31
