product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.min_age | compliance.sale_permitted | energy.class | specs.coverage_m2 | specs.filter_type | specs.noise_db | specs.plug_type | specs.power_w | textile.care_code | textile.fibre_composition | image.HERO | image.IN_SITU | image.DETAIL | GTIN_14 | countryOfOrigin | Case Qty | food.net_weight_g
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Minimum age (years) | Permitted for sale | Energy class | Coverage area (m²) | Filter type | Sound level (dB) | Plug and supply | Rated power (W) | Care instructions | Fibre composition | Image - hero | Image - in_situ | Image - detail | GTIN | Country of origin | Case Qty | Net weight
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only | optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years' | optional; safety - a person reviews any change; true or false | optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only | optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²' | optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only | optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB' | optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only | required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W' | optional; applies to home.textiles.bedding, home.textiles.towels only | optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '/' | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | optional; the file name as it appears in images/ inside the bundle | optional | optional | optional | optional
PRD-04 | Stonebridge Rapid Kettle | STB-KET-17 | Stonebridge Rapid Kettle 1.7L | true | home.kitchen.kettles  |  | UKCA-2503  |  | true | A |  |  | 70 | BS 1363 Type G (fused 13 A) | 3000 |  |  | stb-ket-17-hero.svg | stb-ket-17-in_situ.svg | stb-ket-17-detail.svg | 05044556600019  | Poland | 6 | 450
PRD-STO901 | Stonebridge Traditional Kettle | STO-901-A | Stonebridge Traditional Kettle | true | home.kitchen.kettles | ultra-quiet | CE-2026-37545 |  | true | A |  |  | 48 | BS 1363 Type G (fused 13 A) | 2260 |  |  | sto-901-a-hero.svg |  sto-901-a-in_situ.svg | sto-901-a-detail.svg | 07734067758745 | Czechia | 12 | 450
PRD-STO902 | Stonebridge Bladeless Fan | STO-902-A | Stonebridge Bladeless Fan  | true | home.air-treatment.fans |  ultra-quiet / made-in-britain | CE-2026-63324 |  | true |  A | 66 | Not applicable | 31  | BS 1363 Type G (fused 13 A) | 1159  |  |  | sto-902-a-hero.svg | sto-902-a-in_situ.svg | sto-902-a-detail.svg  |  | Spain |  | 
PRD-STO902 | Stonebridge Bladeless Fan | STO-902-B  | Stonebridge Bladeless Fan Mini | false | home.air-treatment.fans | ultra-quiet | CE-2025-66737 |  |  true | A | 100 | Washable mesh | 72 | BS 1363 Type G | 300 |  |  | sto-902-b-hero.svg | sto-902-b-in_situ.svg | sto-902-b-detail.svg | 09199531118173 | Portugal |  24 | 
PRD-STO903 | Stonebridge Evaporative Humidifier  | STO-903-A  | Stonebridge Evaporative Humidifier | true | home.air-treatment.humidifiers | ultra-quiet / made-in-britain | CE-2025-89356 |  |  | B | 20 m2 | Not applicable | 53  | BS 1363 Type G | 979 |  |  | sto-903-a-hero.svg | sto-903-a-in_situ.svg | sto-903-a-detail.svg | 08595410459842 | Portugal | 6 | 
PRD-STO904 | Stonebridge Large Room Purifier | STO-904-A | Stonebridge Large Room Purifier | true  | home.air-treatment.purifiers | ultra-quiet | CE-2024-92764  |  | true | B | 70 | HEPA H12 | 39 | USB-C 5 V | 982 |  |  | sto-904-a-hero.svg | sto-904-a-in_situ.svg | sto-904-a-detail.svg | 08908618532286 | Poland | 12 | 
PRD-STO905  | Stonebridge Santoku Knife | STO-905-A | Stonebridge Santoku Knife | true | home.cookware.knives | ultra-quiet / low-energy  |  | 16 | true |  |  |  |  |  |  |  |  | sto-905-a-hero.svg | sto-905-a-in_situ.svg | sto-905-a-detail.svg | 06842203940501 | Czechia |  | 
PRD-STO905 | Stonebridge Santoku Knife | STO-905-B | Stonebridge Santoku Knife Twin Pack | false | home.cookware.knives | ultra-quiet |  | 16 | true |  |  |  |  |  |  |  |  | sto-905-b-hero.svg | sto-905-b-in_situ.svg | sto-905-b-detail.svg | 04384606898046 | India | 24 | 
