Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
FOO-128-C,Ashcombe Soft White Medium Sliced Bread,12,14.10,GBP,22
FOO-239-A,Ashcombe Macaroni Cheese 400 g,1,8.34,GBP,39
FOO-243-B,Ashcombe Beef Lasagne 400 g,12,237.75,GBP,37
FOO-128-A,Ashcombe Soft White Medium Sliced Bread,12,200.18,GBP,42
FOO-128-B,Ashcombe Soft White Medium Sliced Bread,6,103.82,GBP,17
FOO-243-A,Ashcombe Beef Lasagne 400 g,1,34.06,GBP,32
FOO-243-C,Ashcombe Beef Lasagne 400 g,6,152.41,GBP,16
BRA-901-A,Bramblewood Seeded Farmhouse Loaf,1,27.17,GBP,6
BRA-902-A,Bramblewood Lasagne al Forno,1,102.14,GBP,42
BRA-903-A,Bramblewood Craft Lager,6,71.76,GBP,23
BRA-903-B,Bramblewood Craft Lager,12,79.10,GBP,13
BRA-904-A,Bramblewood Spiced Rum,24,121.47,GBP,42
BRA-904-B,Bramblewood Spiced Rum,24,94.49,GBP,45
BRA-905-A,Bramblewood Rioja Crianza,24,148.05,GBP,31
BRA-906-A,Bramblewood Malted Wheat Squares,24,233.61,GBP,18
