Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
FOO-152-A,Ashcombe Victoria Sponge Sandwich Cake,1,169.94,GBP,3
FOO-112-A,Ashcombe Milk Chocolate Digestives,24,208.87,GBP,31
FOO-152-B,Ashcombe Victoria Sponge Sandwich Cake,6,37.26,GBP,6
COP-901-A,Copperfield All Butter Shortbread,6,53.66,GBP,32
COP-901-B,Copperfield All Butter Shortbread,6,30.76,GBP,32
COP-902-A,Copperfield Lemon Drizzle Loaf,24,213.44,GBP,44
COP-902-B,Copperfield Lemon Drizzle Loaf,12,44.11,GBP,22
COP-903-A,Copperfield Session IPA,12,1.48,GBP,4
COP-903-B,Copperfield Session IPA,24,13.89,GBP,8
COP-904-A,Copperfield Single Malt,24,56.14,GBP,28
COP-904-B,Copperfield Single Malt,12,151.29,GBP,44
COP-905-A,Copperfield Sauvignon Blanc,24,66.39,GBP,4
COP-905-B,Copperfield Sauvignon Blanc,24,223.88,GBP,11
COP-906-A,Copperfield Malted Wheat Squares,12,43.29,GBP,10
COP-906-B,Copperfield Malted Wheat Squares,1,177.18,GBP,15
