Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
FOO-192-A,Ashcombe British Skimmed Milk 4 Pint,1,24.73,GBP,5
FOO-213-A,Ashcombe Grated Mozzarella 250 g,1,205.08,GBP,28
SIL-901-A,Silverbrook Creamy Brie,12,119.77,GBP,33
SIL-901-B,Silverbrook Creamy Brie,6,38.14,GBP,17
SIL-902-A,Silverbrook Whole Milk,24,49.28,GBP,41
SIL-902-B,Silverbrook Whole Milk,24,219.88,GBP,16
SIL-903-A,Silverbrook Amber Ale,24,163.91,GBP,34
SIL-904-A,Silverbrook London Dry Gin,6,137.36,GBP,37
SIL-905-A,Silverbrook Sauvignon Blanc,6,166.62,GBP,8
SIL-906-A,Silverbrook Bran Flakes,6,103.18,GBP,31
