Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
FOO-176-A,Ashcombe Semi-Skimmed Milk 2 L,12,161.82,GBP,15
FOO-200-A,Ashcombe Mature Cheddar 350 g,1,104.32,GBP,12
FOO-200-B,Ashcombe Mature Cheddar 350 g,24,131.95,GBP,37
FOO-144-A,Ashcombe Six Sourdough Rolls,1,74.08,GBP,30
FOO-144-B,Ashcombe Six Sourdough Rolls,1,228.30,GBP,12
FOO-168-A,Ashcombe Six Bakewell Tarts,24,148.46,GBP,8
FOO-219-A,Ashcombe Greek Style Natural Yoghurt 500 g,6,182.70,GBP,45
FOO-219-B,Ashcombe Greek Style Natural Yoghurt 500 g,24,158.48,GBP,29
LON-901-A,Longmeadow Wholemeal Batch Loaf,24,147.22,GBP,33
LON-901-B,Longmeadow Wholemeal Batch Loaf,1,129.25,GBP,40
LON-902-A,Longmeadow Carrot Cake,6,91.54,GBP,5
LON-903-A,Longmeadow Red Leicester,1,230.92,GBP,40
LON-904-A,Longmeadow Whole Milk,6,147.74,GBP,16
LON-905-A,Longmeadow Strawberry Yoghurt,24,192.26,GBP,34
LON-906-A,Longmeadow Craft Lager,1,195.06,GBP,21
LON-906-B,Longmeadow Craft Lager,12,81.17,GBP,36
