product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.fibre_g,food.ingredients,food.net_weight_g,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.INGREDIENT_PANEL,image.DETAIL,netContent,GTIN_14,Buyer
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Allergens - contains,Allergens - may contain,Fibre (g),Ingredients,Net weight (g),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - ingredient_panel,Image - detail,Net quantity,GTIN,Buyer
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '|'","optional; the number only, in g - never '65 g'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-176,Ashcombe Semi-Skimmed Milk 2 L,FOO-176-A,Ashcombe Semi-Skimmed Milk 2 L, true, food.dairy.milk,peanut-free | gluten-free | high-fibre,,true, milk,,8.0,milk,200,India,g,25,foo-176-a-pack_front.svg,foo-176-a-ingredient_panel.svg,foo-176-a-detail.svg,430.0,5000000000536,A. Whitfield
PRD-200,Ashcombe Mature Cheddar 350 g,FOO-200-A,Ashcombe Mature Cheddar 350 g,true,food.dairy.cheese,peanut-free | gluten-free,,true,milk,,2.1,milk | salt | starter culture | vegetarian rennet,590,Poland ,g,50,foo-200-a-pack_front.svg,foo-200-a-ingredient_panel.svg,foo-200-a-detail.svg,150.0,5000000000704,
PRD-200,Ashcombe Mature Cheddar 350 g,FOO-200-B,Ashcombe Mature Cheddar 350 g Multipack,false,food.dairy.cheese,peanut-free | gluten-free,,true, milk,,1.7,milk | salt | starter culture | vegetarian rennet, 130,Viet Nam,g,20,foo-200-b-pack_front.svg,foo-200-b-ingredient_panel.svg,foo-200-b-detail.svg,790.0 ,5000000000711,R. Okonjo
PRD-144,Ashcombe Six Sourdough Rolls,FOO-144-A,Ashcombe Six Sourdough Rolls,true,food.bakery.bread,peanut-free,,true,gluten,sesame,4.1,wheat flour | water | yeast | salt,490,Portugal ,ml ,N/A,foo-144-a-pack_front.svg,foo-144-a-ingredient_panel.svg,foo-144-a-detail.svg,760.0,5000000000312,
PRD-144,Ashcombe Six Sourdough Rolls,FOO-144-B,Ashcombe Six Sourdough Rolls Multipack,false,food.bakery.bread,peanut-free,,true ,gluten,sesame,"5,3",wheat flour | water | yeast | salt,120,Poland,ml,35,foo-144-b-pack_front.svg,foo-144-b-ingredient_panel.svg,foo-144-b-detail.svg,310.0,5000000000319,A. Whitfield
PRD-168,Ashcombe Six Bakewell Tarts,FOO-168-A,Ashcombe Six Bakewell Tarts,true,food.bakery.cakes,peanut-free,,true,gluten | egg | milk,nuts,0.8,wheat flour | sugar | eggs | butter | raising agent,270,China,g,,foo-168-a-pack_front.svg ,foo-168-a-ingredient_panel.svg,foo-168-a-detail.svg,990.0,5000000000480,
PRD-219,Ashcombe Greek Style Natural Yoghurt 500 g,FOO-219-A,Ashcombe Greek Style Natural Yoghurt 500 g,true ,food.dairy.yoghurt,clinically proven,,FALSE,milk,nuts,4.8,milk | live cultures | sugar,40,Italy,g,50,foo-219-a-pack_front.svg ,foo-219-a-ingredient_panel.svg,foo-219-a-detail.svg,410.0, 5000000000837,R. Okonjo
PRD-219,Ashcombe Greek Style Natural Yoghurt 500 g,FOO-219-B,Ashcombe Greek Style Natural Yoghurt 500 g Multipack,N,food.dairy.yoghurt ,cures dry skin,,FALSE,milk,nuts,1.8,milk | live cultures | sugar ,130,United Kingdom,g, 55,foo-219-b-pack_front.svg,foo-219-b-ingredient_panel.svg,foo-219-b-detail.svg,640.0,5000000000844,
