product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.min_age | compliance.sale_permitted | food.allergens.contains | food.allergens.may_contain | food.fibre_g | food.ingredients | food.net_weight_g | origin.country | pack.unit | packaging.recyclable_pct | image.PACK_FRONT | image.INGREDIENT_PANEL | image.DETAIL | netContent | GTIN_14 | Supplier Notes
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Minimum age (years) | Permitted for sale | Allergens - contains | Allergens - may contain | Fibre (g) | Ingredients | Net weight (g) | Country of origin | Net quantity unit | Recyclable packaging (%) | Image - pack_front | Image - ingredient_panel | Image - detail | Net quantity | GTIN | Supplier Notes
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; safety - a person reviews any change; applies to food.alcohol.beer, food.alcohol.spirits, food.alcohol.wine only; the number only, in years - never '65 years' | optional; safety - a person reviews any change; true or false | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '/' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; one entry per cell, separated by '/' | optional; the number only, in g - never '65 g' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; one entry per cell, separated by '/' | optional; the number only, in g - never '65 g' | optional | optional | optional; the number only, in % - never '65 %' | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | optional; the file name as it appears in images/ inside the bundle | optional | optional | optional
PRD-120 | Ashcombe Oat & Raisin Cookies | FOO-120-A | Ashcombe Oat & Raisin Cookies | true |  food.bakery.biscuits | peanut-free |  | true | gluten / milk / egg | nuts | 2.8 | wheat flour / butter / sugar / eggs / salt |  490 | Portugal | ml | 60 | foo-120-a-pack_front.svg | foo-120-a-ingredient_panel.svg | foo-120-a-detail.svg | 100.0 | 5000000000144 | 
PRD-136 | Ashcombe Wholemeal Seeded Batch Loaf | FOO-136-A | Ashcombe Wholemeal Seeded Batch Loaf | true  | food.bakery.bread | peanut-free |  | true | gluten | sesame  | 0.7 | wheat flour / water / yeast / salt  | 400 | Republic of Ireland | g |  30 | foo-136-a-pack_front.svg | foo-136-a-ingredient_panel.svg | foo-136-a-detail.svg  | 410.0 | 5000000000256 | checked 02/26
PRD-136 | Ashcombe Wholemeal Seeded Batch Loaf |  FOO-136-B | Ashcombe Wholemeal Seeded Batch Loaf Multipack | false | food.bakery.bread | peanut-free  |  | true | gluten | sesame | 0.6 | wheat flour / water / yeast / salt | 110 | Portugal | g | 55 | foo-136-b-pack_front.svg | foo-136-b-ingredient_panel.svg | foo-136-b-detail.svg | 730.0 | 5000000000263 |  as agreed with buying
PRD-136 | Ashcombe Wholemeal Seeded Batch Loaf | FOO-136-C | Ashcombe Wholemeal Seeded Batch Loaf Large Pack | false | food.bakery.bread  | peanut-free / high-fibre |  | true  | gluten |  sesame | 7.6 | wheat flour / water / yeast / salt | 241 | Turkey | g | 60 | foo-136-c-pack_front.svg |  foo-136-c-ingredient_panel.svg | foo-136-c-detail.svg | 430.0 | 5000000000270 | 
PRD-160 |  Ashcombe Lemon Drizzle Loaf Cake | FOO-160-A  | Ashcombe Lemon Drizzle Loaf Cake | true | food.bakery.cakes | peanut-free / recyclable-packaging |  | Y | gluten / egg / milk | nuts | 2.5 | wheat flour / sugar / eggs / butter / raising agent | 550 | Turkey | g  | 95 | foo-160-a-pack_front.svg | foo-160-a-ingredient_panel.svg | foo-160-a-detail.svg | 920.0 | 5000000000424 | 
PRD-160 | Ashcombe Lemon Drizzle Loaf Cake | FOO-160-B | Ashcombe Lemon Drizzle Loaf Cake Multipack |  false | food.bakery.cakes | peanut-free |  | true | gluten / egg / milk | nuts | 0.6 | wheat flour / sugar / eggs / butter / raising agent | 570 | Portugal | g | 70 | foo-160-b-pack_front.svg | foo-160-b-ingredient_panel.svg | foo-160-b-detail.svg  | 960.0 | 5000000000431 | checked 02/26
PRD-184 | Ashcombe Whole Milk 1 L | FOO-184-A | Ashcombe Whole Milk 1 L | Yes | food.dairy.milk | peanut-free / gluten-free |  | true | milk |  | 2.8 | milk | 190 | Viet Nam | g | 40 | foo-184-a-pack_front.svg | foo-184-a-ingredient_panel.svg | foo-184-a-detail.svg | 800.0 | 5000000000592 | as agreed with buying
PRD-184 | Ashcombe Whole Milk 1 L | FOO-184-C | Ashcombe Whole Milk 1 L Large Pack | false | food.dairy.milk | peanut-free / gluten-free / made-in-britain |  |  true | milk |  | 7.9 | milk | 300 | United Kingdom | ml | 35 | foo-184-c-pack_front.svg |  foo-184-c-ingredient_panel.svg | foo-184-c-detail.svg | 430.0 | 5000000000606 | 
