Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
FOO-230-B,Ashcombe Low Fat Vanilla Yoghurt 450 g,12,98.55,GBP,26
FOO-230-A,Ashcombe Low Fat Vanilla Yoghurt 450 g,6,68.36,GBP,3
FOO-230-C,Ashcombe Low Fat Vanilla Yoghurt 450 g,12,50.80,GBP,42
MAR-901-A,Marlowe Greek Style Yoghurt,12,5.99,GBP,9
MAR-902-A,Marlowe Amber Ale,12,180.33,GBP,23
MAR-903-A,Marlowe London Dry Gin,12,213.00,GBP,18
MAR-903-B,Marlowe London Dry Gin,1,72.11,GBP,23
MAR-904-A,Marlowe Prosecco Brut,24,193.38,GBP,24
MAR-904-B,Marlowe Prosecco Brut,6,25.25,GBP,10
MAR-905-A,Marlowe Honey Nut Clusters,12,197.31,GBP,34
MAR-906-A,Marlowe Basmati Rice,1,92.84,GBP,37
MAR-906-B,Marlowe Basmati Rice,24,159.60,GBP,28
