Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HOM-107-B,Vapourfield Ultrasonic Humidifier 4 L,12,146.18,GBP,41
HOM-123-A,Morningside Four Slice Toaster,1,12.43,GBP,15
HOM-131-B,Crustline Two Slice Toaster,12,180.69,GBP,43
HOM-187-B,Glidewell Steam Iron 2400 W,6,118.79,GBP,34
HOM-209-A,Ashcombe Stainless Steel Saucepan Set 3 Piece,1,193.86,GBP,36
HOM-131-A,Crustline Two Slice Toaster,24,219.64,GBP,21
HOM-107-A,Vapourfield Ultrasonic Humidifier 4 L,1,165.99,GBP,41
HOM-209-B,Ashcombe Stainless Steel Saucepan Set 3 Piece,12,117.38,GBP,36
HOM-215-B,Ashcombe Stainless Steel Chef's Knife 20 cm,24,153.06,GBP,22
HOM-187-A,Glidewell Steam Iron 2400 W,6,154.28,GBP,44
HOM-187-C,Glidewell Steam Iron 2400 W,1,77.10,GBP,42
HOM-215-A,Ashcombe Stainless Steel Chef's Knife 20 cm,24,212.06,GBP,10
HOM-240-A,Ashcombe Four Piece Hand Towel Bale,1,126.93,GBP,6
NOR-901-A,Northgate Bedroom Humidifier,24,102.07,GBP,29
NOR-902-A,Northgate Santoku Knife,12,217.30,GBP,31
NOR-902-B,Northgate Santoku Knife,1,194.90,GBP,13
NOR-903-A,Northgate Wok,12,80.08,GBP,15
NOR-903-B,Northgate Wok,24,110.62,GBP,11
NOR-904-A,Northgate Compact Toaster,1,109.99,GBP,45
NOR-904-B,Northgate Compact Toaster,24,39.73,GBP,36
NOR-905-A,Northgate Steam Iron,6,103.25,GBP,11
NOR-906-A,Northgate Egyptian Cotton Bath Sheet,24,212.98,GBP,16
