product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,GTIN_14,countryOfOrigin,Supplier Notes
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Energy class,Coverage area (m²),Filter type,Sound level (dB),Plug and supply,Rated power (W),Care instructions,Fibre composition,Image - hero,Image - in_situ,Image - detail,GTIN,Country of origin,Supplier Notes
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB'","optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W'","optional; applies to home.textiles.bedding, home.textiles.towels only","optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-107,Vapourfield Ultrasonic Humidifier 4 L,HOM-107-B,Vapourfield Ultrasonic Humidifier 4 L Plus,false,home.air-treatment.humidifiers ,,BS-EN-2749 ,,true,B,67 ,Washable mesh,62,BS 1363 Type G,860,,,hom-107-b-hero.svg ,hom-107-b-in_situ.svg ,hom-107-b-detail.svg,5000000000060,Poland,
PRD-123,Morningside Four Slice Toaster,HOM-123-A,Morningside Four Slice Toaster,true ,home.kitchen.toasters,,UKCA-2603,,true,A,,,45,USB-C 5 V,580,,,hom-123-a-hero.svg,hom-123-a-in_situ.svg ,hom-123-a-detail.svg,5000000000165,Turkey,checked 02/26
PRD-131,Crustline Two Slice Toaster,HOM-131-B,Crustline Two Slice Toaster Plus,false, home.kitchen.toasters,,EN71-3-2841,,true,A,,,42,BS 1363 Type G (fused 13 A),100,,,hom-131-b-hero.svg,hom-131-b-in_situ.svg,hom-131-b-detail.svg,5000000000228,Turkey,as agreed with buying
PRD-187,Glidewell Steam Iron 2400 W,HOM-187-B,Glidewell Steam Iron 2400 W Plus,false,home.laundry.irons,,EN71-3-2630,,Y,A,,,43,BS 1363 Type G,1040,,,hom-187-b-hero.svg,hom-187-b-in_situ.svg,hom-187-b-detail.svg,5000000000620,Viet Nam,
PRD-209,Ashcombe Stainless Steel Saucepan Set 3 Piece,HOM-209-A,Ashcombe Stainless Steel Saucepan Set 3 Piece,true,home.cookware.pans,ultra-quiet,,, true,,,,,,,,,hom-209-a-hero.svg,hom-209-a-in_situ.svg ,hom-209-a-detail.svg,5000000000767,Turkey,
PRD-131 ,Crustline Two Slice Toaster,HOM-131-A, Crustline Two Slice Toaster,true,home.kitchen.toasters,ultra-quiet,CE-2026-35937 ,,true, A,,,"38,0",USB-C 5 V,1960,,,hom-131-a-hero.svg,hom-131-a-in_situ.svg,hom-131-a-detail.svg,5000000000221,Republic of Ireland,checked 02/26
 PRD-107,Vapourfield Ultrasonic Humidifier 4 L ,HOM-107-A,Vapourfield Ultrasonic Humidifier 4 L,true,home.air-treatment.humidifiers,,BS-EN-2781,,true,B ,N/A,Washable mesh, 46,USB-C 5 V,1380,,,hom-107-a-hero.svg,hom-107-a-in_situ.svg,hom-107-a-detail.svg,5000000000053,Viet Nam,as agreed with buying
 PRD-209,Ashcombe Stainless Steel Saucepan Set 3 Piece,HOM-209-B,Ashcombe Stainless Steel Saucepan Set 3 Piece Plus ,false,home.cookware.pans,made-in-britain,,,true,,,,,,,,,hom-209-b-hero.svg,hom-209-b-in_situ.svg,hom-209-b-detail.svg,5000000000774,United Kingdom,
