Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HOM-147-A,Blitzwell Personal Blender 600 ml,6,76.20,GBP,32
HOM-155-A,Northgate 800 W Solo Microwave,1,215.06,GBP,19
HOM-155-C,Northgate 800 W Solo Microwave,6,87.23,GBP,16
HOM-195-A,Creaseless Garment Steamer,24,124.24,GBP,6
HOM-139-A,Vortex Jug Blender 1.5 L,12,216.86,GBP,5
HOM-155-B,Northgate 800 W Solo Microwave,6,97.43,GBP,4
HOM-195-B,Creaseless Garment Steamer,6,42.37,GBP,23
HOM-195-C,Creaseless Garment Steamer,24,218.55,GBP,21
HOM-227-B,Ashcombe Brushed Cotton Duvet Set Double,6,82.35,GBP,44
HOM-227-A,Ashcombe Brushed Cotton Duvet Set Double,6,225.03,GBP,37
HOM-227-C,Ashcombe Brushed Cotton Duvet Set Double,12,174.10,GBP,14
HAR-901-A,Harrow Hand Blender,6,223.08,GBP,17
HAR-902-A,Harrow Combination Microwave,6,168.17,GBP,25
HAR-902-B,Harrow Combination Microwave,12,141.36,GBP,30
HAR-903-A,Harrow Steam Generator Iron,1,122.13,GBP,32
HAR-903-B,Harrow Steam Generator Iron,6,168.15,GBP,37
HAR-904-A,Harrow Duvet Set,1,106.17,GBP,18
HAR-905-A,Harrow Pedestal Fan,12,234.20,GBP,15
HAR-906-A,Harrow Cool Mist Humidifier,24,48.35,GBP,38
