product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,GTIN_14,countryOfOrigin,Buyer
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Energy class,Coverage area (m²),Filter type,Sound level (dB),Plug and supply,Rated power (W),Care instructions,Fibre composition,Image - hero,Image - in_situ,Image - detail,GTIN,Country of origin,Buyer
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB'","optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W'","optional; applies to home.textiles.bedding, home.textiles.towels only","optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-147,Blitzwell Personal Blender 600 ml,HOM-147-A,Blitzwell Personal Blender 600 ml,Yes,home.kitchen.blenders,,DOC-CE-2679,,true,A,,, 61,BS 1363 Type G (fused 13 A),100,,,hom-147-a-hero.svg,hom-147-a-in_situ.svg,hom-147-a-detail.svg,5000000000333,Portugal,A. Whitfield
PRD-155,Northgate 800 W Solo Microwave,HOM-155-A,Northgate 800 W Solo Microwave,true,home.kitchen.microwaves,,UKCA-2980,,true,A,,,54,BS 1363 Type G (fused 13 A),1700,,,hom-155-a-hero.svg,hom-155-a-in_situ.svg,hom-155-a-detail.svg,5000000000389,Portugal,
PRD-155, Northgate 800 W Solo Microwave,HOM-155-C,Northgate 800 W Solo Microwave Max,false,home.kitchen.microwaves,,EN71-3-2470,,true, A,,,44,BS 1363 Type G (fused 13 A),1480,,,hom-155-c-hero.svg,hom-155-c-in_situ.svg,hom-155-c-detail.svg,5000000000403,China,R. Okonjo
PRD-195,Creaseless Garment Steamer,HOM-195-A,Creaseless Garment Steamer,true,home.laundry.irons,,UKCA-2734,,true,C,,,56,BS 1363 Type G (fused 13 A),2260 ,,,hom-195-a-hero.svg ,hom-195-a-in_situ.svg,hom-195-a-detail.svg,5000000000669,India,
PRD-139,Vortex Jug Blender 1.5 L ,HOM-139-A,Vortex Jug Blender 1.5 L ,true,home.kitchen.blenders,,CE-2025-95112,,true,B ,,,41 dB,BS 1363 Type G ,340,,,hom-139-a-hero.svg, hom-139-a-in_situ.svg,hom-139-a-detail.svg,5000000000277,China ,A. Whitfield
PRD-155,Northgate 800 W Solo Microwave,HOM-155-B,Northgate 800 W Solo Microwave Plus , false,home.kitchen.microwaves,ultra-quiet,EN71-3-2676,,true,B,,,N/A,USB-C 5 V,980,,,hom-155-b-hero.svg,hom-155-b-in_situ.svg,hom-155-b-detail.svg, 5000000000396,China,
PRD-195,Creaseless Garment Steamer,HOM-195-B,Creaseless Garment Steamer Plus,false,home.laundry.irons,,DOC-CE-2565,,Yes,,,,41,BS 1363 Type G,2120,,,hom-195-b-hero.svg,hom-195-b-in_situ.svg,hom-195-b-detail.svg,5000000000676,Republic of Ireland,R. Okonjo
PRD-195,Creaseless Garment Steamer,HOM-195-C,Creaseless Garment Steamer Max,false,home.laundry.irons,ultra-quiet | made-in-britain ,,,true,A,,,36,BS 1363 Type G,2120,,,hom-195-c-hero.svg,hom-195-c-in_situ.svg,hom-195-c-detail.svg,5000000000683,United Kingdom,
PRD-227,Ashcombe Brushed Cotton Duvet Set Double,HOM-227-B,Ashcombe Brushed Cotton Duvet Set Double Navy,false,home.textiles.bedding,ultra-quiet,,, true,,,,,,,,80% Cotton | 20% Polyester,hom-227-b-hero.svg,hom-227-b-in_situ.svg,hom-227-b-detail.svg,5000000000900,Viet Nam,A. Whitfield
PRD-227,Ashcombe Brushed Cotton Duvet Set Double,HOM-227-A,Ashcombe Brushed Cotton Duvet Set Double,true,home.textiles.bedding,clinically proven,,,false,,,,,,,30-REG-NB-I2-W,60% Cotton | 40% Polyester,hom-227-a-hero.svg,hom-227-a-in_situ.svg,hom-227-a-detail.svg,5000000000893,Republic of Ireland,
PRD-227,Ashcombe Brushed Cotton Duvet Set Double , HOM-227-C,Ashcombe Brushed Cotton Duvet Set Double Charcoal,false,home.textiles.bedding,cures dry skin,,, false,,,,,,,30-DEL-NB-I1-P,80% Cotton | 20% Polyester,hom-227-c-hero.svg,hom-227-c-in_situ.svg,hom-227-c-detail.svg,5000000000907,Viet Nam, R. Okonjo
PRD-HAR901,Harrow Hand Blender,HAR-901-A,Harrow Hand Blender,true,home.kitchen.blenders,ultra-quiet | low-energy,CE-2024-50146,,true,C,,,61,BS 1363 Type G (fused 13 A),99,,,har-901-a-hero.svg,har-901-a-in_situ.svg,har-901-a-detail.svg,05907576835256,Netherlands,
PRD-HAR902,Harrow Combination Microwave,HAR-902-A,Harrow Combination Microwave,true,home.kitchen.microwaves,made-in-britain,CE-2025-99903,,true,C,,, 32 dB,USB-C 5 V,,,,har-902-a-hero.svg,har-902-a-in_situ.svg,har-902-a-detail.svg,06365101619783,Italy,A. Whitfield
PRD-HAR902,Harrow Combination Microwave,HAR-902-B,Harrow Combination Microwave Everyday ,false,home.kitchen.microwaves,ultra-quiet | made-in-britain,CE-2025-69444,, true,A,,,29,BS 1363 Type G (fused 13 A),47,,,har-902-b-hero.svg,har-902-b-in_situ.svg,har-902-b-detail.svg,07864942972992,Portugal ,
PRD-HAR903,Harrow Steam Generator Iron,HAR-903-A,Harrow Steam Generator Iron,true, home.laundry.irons,ultra-quiet,CE-2026-68501 ,,,C,,,50,USB-C 5 V,1042,,,har-903-a-hero.svg,har-903-a-in_situ.svg,har-903-a-detail.svg,09447460706001,Poland,R. Okonjo
PRD-HAR903,Harrow Steam Generator Iron ,HAR-903-B,Harrow Steam Generator Iron Single,false,home.laundry.irons,ultra-quiet | made-in-britain,CE-2026-20615,,Y,C,,,32,BS 1363 Type G,1161,,,har-903-b-hero.svg ,har-903-b-in_situ.svg,har-903-b-detail.svg,08229286009737,Spain,
PRD-HAR904,Harrow Duvet Set,HAR-904-A,Harrow Duvet Set, true,home.textiles.bedding,made-in-britain,,,true,,,,,,,40-REG-NB-I2-P,95% Cotton | 5% Elastane,har-904-a-hero.svg,har-904-a-in_situ.svg ,har-904-a-detail.svg,08225308917031,United Kingdom,A. Whitfield
PRD-HAR905,Harrow Pedestal Fan,HAR-905-A,Harrow Pedestal Fan,true,home.air-treatment.fans,ultra-quiet,CE-2025-31626,,true,B,38,HEPA H12,46,BS 1363 Type G,419,,,har-905-a-hero.svg,har-905-a-in_situ.svg,har-905-a-detail.svg,07653536444752,Vietnam,
PRD-HAR906,Harrow Cool Mist Humidifier,HAR-906-A,Harrow Cool Mist Humidifier,true,home.air-treatment.humidifiers,,CE-2024-73152,,true ,B,22,Washable mesh,46,USB-C 5 V ,578,,,har-906-a-hero.svg,har-906-a-in_situ.svg,har-906-a-detail.svg,04886384507897,United Kingdom,R. Okonjo
