Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HOM-115-A,Dewpoint Cool Mist Humidifier 2 L,1,167.75,GBP,17
HOM-163-A,Kestrel 900 W Combination Microwave,12,146.30,GBP,34
HOM-163-B,Kestrel 900 W Combination Microwave,1,71.93,GBP,15
HOM-203-A,Ashcombe Non-Stick Frying Pan 28 cm,24,100.29,GBP,31
HOM-203-B,Ashcombe Non-Stick Frying Pan 28 cm,6,163.15,GBP,26
HOM-221-A,Ashcombe Five Piece Knife Block Set,12,109.91,GBP,21
HOM-221-B,Ashcombe Five Piece Knife Block Set,24,232.82,GBP,28
HOM-221-C,Ashcombe Five Piece Knife Block Set,6,188.40,GBP,12
HOM-232-A,Ashcombe 200 Thread Count Fitted Sheet King,24,157.42,GBP,25
HOM-232-B,Ashcombe 200 Thread Count Fitted Sheet King,12,200.93,GBP,25
HOM-115-B,Dewpoint Cool Mist Humidifier 2 L,24,189.22,GBP,44
HOM-163-C,Kestrel 900 W Combination Microwave,6,53.97,GBP,44
HOM-171-A,Dustline Cordless Stick Vacuum,12,16.33,GBP,18
HOM-179-A,Whirlgate Bagless Cylinder Vacuum,6,134.22,GBP,20
HOM-232-C,Ashcombe 200 Thread Count Fitted Sheet King,6,210.00,GBP,19
HOM-236-A,Ashcombe Egyptian Cotton Bath Towel,24,61.63,GBP,38
HOM-236-B,Ashcombe Egyptian Cotton Bath Towel,24,25.10,GBP,16
KES-901-A,Kestrel Evaporative Humidifier,6,177.92,GBP,19
KES-901-B,Kestrel Evaporative Humidifier,1,50.71,GBP,5
KES-902-A,Kestrel Paring Knife,24,231.42,GBP,7
KES-903-A,Kestrel Stainless Saucepan Set,24,170.11,GBP,6
KES-904-A,Kestrel Cordless Stick Vacuum,12,140.15,GBP,19
KES-905-A,Kestrel Solo Microwave,6,214.42,GBP,28
KES-906-A,Kestrel Duvet Set,24,109.59,GBP,42
KES-906-B,Kestrel Duvet Set,6,55.39,GBP,31
