product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,GTIN_14,countryOfOrigin,internal_ref
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Energy class,Coverage area (m²),Filter type,Sound level (dB),Plug and supply,Rated power (W),Care instructions,Fibre composition,Image - hero,Image - in_situ,Image - detail,GTIN,Country of origin,internal_ref
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; safety - a person reviews any change; applies to home.cookware.knives only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only; the number only, in m² - never '65 m²'","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers only","optional; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in dB - never '65 dB'","optional; safety - a person reviews any change; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only","required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to home.air-treatment.fans, home.air-treatment.humidifiers, home.air-treatment.purifiers, home.floorcare.vacuums, and 5 more only; the number only, in W - never '65 W'","optional; applies to home.textiles.bedding, home.textiles.towels only","optional; order is part of the value; do not sort; applies to home.textiles.bedding, home.textiles.towels only; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-115,Dewpoint Cool Mist Humidifier 2 L,HOM-115-A,Dewpoint Cool Mist Humidifier 2 L,true, home.air-treatment.humidifiers,,DOC-CE-2559,,true ,A,80,HEPA H12, 50,BS 1363 Type G (fused 13 A),1160,,,hom-115-a-hero.svg,hom-115-a-in_situ.svg, hom-115-a-detail.svg,5000000000109,Republic of Ireland ,
PRD-163,Kestrel 900 W Combination Microwave,HOM-163-A,Kestrel 900 W Combination Microwave,true,home.kitchen.microwaves,,UKCA-2853,,true,B,,,62,USB-C 5 V,420,,,hom-163-a-hero.svg ,hom-163-a-in_situ.svg,hom-163-a-detail.svg,5000000000445,Republic of Ireland,
 PRD-163,Kestrel 900 W Combination Microwave,HOM-163-B,Kestrel 900 W Combination Microwave Plus,false,home.kitchen.microwaves ,,EN71-3-2987,,true,B,,,51,BS 1363 Type G (fused 13 A),300,,,hom-163-b-hero.svg,hom-163-b-in_situ.svg,hom-163-b-detail.svg,5000000000452,Portugal,REF-8841
PRD-203,Ashcombe Non-Stick Frying Pan 28 cm,HOM-203-A,Ashcombe Non-Stick Frying Pan 28 cm,true,home.cookware.pans,,,,true ,,,,,,,,,hom-203-a-hero.svg ,hom-203-a-in_situ.svg,hom-203-a-detail.svg,5000000000725,India,REF-8842
PRD-203,Ashcombe Non-Stick Frying Pan 28 cm,HOM-203-B,Ashcombe Non-Stick Frying Pan 28 cm Plus,FALSE,home.cookware.pans,,,,true,,,,,,,,,hom-203-b-hero.svg,hom-203-b-in_situ.svg, hom-203-b-detail.svg,5000000000732,Italy,
PRD-221,Ashcombe Five Piece Knife Block Set,HOM-221-A,Ashcombe Five Piece Knife Block Set,true,home.cookware.knives,,,18,Y,,,,,,,,,hom-221-a-hero.svg,hom-221-a-in_situ.svg,hom-221-a-detail.svg,5000000000851 ,Republic of Ireland,
PRD-221,Ashcombe Five Piece Knife Block Set,HOM-221-B,Ashcombe Five Piece Knife Block Set Plus ,false,home.cookware.knives,ultra-quiet,,18,true ,,,,,,,,,hom-221-b-hero.svg,hom-221-b-in_situ.svg,hom-221-b-detail.svg,5000000000858,Turkey,REF-8841
PRD-221,Ashcombe Five Piece Knife Block Set ,HOM-221-C,Ashcombe Five Piece Knife Block Set Max,false,home.cookware.knives,made-in-britain,,18,true,,,,,,,,,hom-221-c-hero.svg,hom-221-c-in_situ.svg,hom-221-c-detail.svg, 5000000000865,United Kingdom,REF-8842
PRD-232,Ashcombe 200 Thread Count Fitted Sheet King,HOM-232-A,Ashcombe 200 Thread Count Fitted Sheet King,true,home.textiles.bedding,,,,true ,,,,,,,30-REG-NB-I2-W,95% Cotton | 5% Elastane,hom-232-a-hero.svg,hom-232-a-in_situ.svg,hom-232-a-detail.svg,5000000000928,Turkey,
PRD-232,Ashcombe 200 Thread Count Fitted Sheet King,HOM-232-B,Ashcombe 200 Thread Count Fitted Sheet King Navy,false,home.textiles.bedding,,,,true,,,,,,,HAND-NB-I1-F,100% Cotton,hom-232-b-hero.svg,hom-232-b-in_situ.svg,hom-232-b-detail.svg,5000000000935,India,
PRD-115,Dewpoint Cool Mist Humidifier 2 L,HOM-115-B,Dewpoint Cool Mist Humidifier 2 L Plus,false,home.air-treatment.humidifiers,,UKCA-2643,,true,A,"70,0",HEPA H12,56,BS 1363 Type G,1360,,, hom-115-b-hero.svg,hom-115-b-in_situ.svg,hom-115-b-detail.svg,5000000000116 , Republic of Ireland,REF-8841
PRD-163,Kestrel 900 W Combination Microwave,HOM-163-C,Kestrel 900 W Combination Microwave Max,false,home.kitchen.microwaves,,DOC-CE-2921,,true,B,,,51 dB,BS 1363 Type G,180,,,hom-163-c-hero.svg,hom-163-c-in_situ.svg,hom-163-c-detail.svg,5000000000459,Viet Nam,REF-8842
PRD-171,Dustline Cordless Stick Vacuum,HOM-171-A,Dustline Cordless Stick Vacuum,Y,home.floorcare.vacuums,,DOC-CE-2629,,true,B,,,,USB-C 5 V,460,,,hom-171-a-hero.svg,hom-171-a-in_situ.svg, hom-171-a-detail.svg,5000000000501, Portugal,
PRD-179,Whirlgate Bagless Cylinder Vacuum, HOM-179-A,Whirlgate Bagless Cylinder Vacuum,true,home.floorcare.vacuums ,ultra-quiet,,,true,A,,,28,BS 1363 Type G,2260,,,hom-179-a-hero.svg,hom-179-a-in_situ.svg,hom-179-a-detail.svg,5000000000557,Italy,
PRD-232,Ashcombe 200 Thread Count Fitted Sheet King,HOM-232-C,Ashcombe 200 Thread Count Fitted Sheet King Charcoal,false,home.textiles.bedding,,,,true,,,,,,,,95% Cotton | 5% Elastane,hom-232-c-hero.svg,hom-232-c-in_situ.svg,hom-232-c-detail.svg,5000000000942,Turkey,REF-8841
PRD-236,Ashcombe Egyptian Cotton Bath Towel,HOM-236-A,Ashcombe Egyptian Cotton Bath Towel,true,home.textiles.towels ,clinically proven,,,false,,,,,,,30-DEL-NB-I1-P,60% Cotton | 40% Polyester,hom-236-a-hero.svg,hom-236-a-in_situ.svg,hom-236-a-detail.svg,5000000000956, Turkey,REF-8842
PRD-236,Ashcombe Egyptian Cotton Bath Towel,HOM-236-B,Ashcombe Egyptian Cotton Bath Towel Navy,false,home.textiles.towels,cures dry skin,,,No,,,,,,,40-REG-NB-I2-P,60% Cotton | 40% Polyester,hom-236-b-hero.svg,hom-236-b-in_situ.svg,hom-236-b-detail.svg,5000000000963,Republic of Ireland,
PRD-KES901,Kestrel Evaporative Humidifier,KES-901-A,Kestrel Evaporative Humidifier,true,home.air-treatment.humidifiers,ultra-quiet | made-in-britain ,CE-2026-23278,,true,C,81,Not applicable,45,BS 1363 Type G (fused 13 A),861,,,kes-901-a-hero.svg,kes-901-a-in_situ.svg,kes-901-a-detail.svg,09467589743173,China,
PRD-KES901,Kestrel Evaporative Humidifier,KES-901-B,Kestrel Evaporative Humidifier Large Pack,false,home.air-treatment.humidifiers,ultra-quiet | low-energy,CE-2024-91008,,true,B,98,HEPA H13, 30,BS 1363 Type G,299,,,kes-901-b-hero.svg,kes-901-b-in_situ.svg,kes-901-b-detail.svg,06864383967301,India,REF-8841
PRD-KES902, Kestrel Paring Knife,KES-902-A,Kestrel Paring Knife,true ,home.cookware.knives,made-in-britain,,16,true ,,,,,,,,,kes-902-a-hero.svg,kes-902-a-in_situ.svg,kes-902-a-detail.svg,,China,REF-8842
PRD-KES903,Kestrel Stainless Saucepan Set,KES-903-A,Kestrel Stainless Saucepan Set,true,home.cookware.pans,ultra-quiet | low-energy,,,,,,,,,,,,kes-903-a-hero.svg,kes-903-a-in_situ.svg,kes-903-a-detail.svg,06805539526871,Portugal,
PRD-KES904,Kestrel Cordless Stick Vacuum,KES-904-A,Kestrel Cordless Stick Vacuum ,true,home.floorcare.vacuums,made-in-britain,CE-2025-79495,,true,B,,,61,USB-C 5 V,100,,,kes-904-a-hero.svg,kes-904-a-in_situ.svg,kes-904-a-detail.svg,09774777613032,Italy,
PRD-KES905 ,Kestrel Solo Microwave,KES-905-A,Kestrel Solo Microwave,true,home.kitchen.microwaves,ultra-quiet,CE-2024-19950,,true,B,,,63,BS 1363 Type G,1379,,,kes-905-a-hero.svg,kes-905-a-in_situ.svg,kes-905-a-detail.svg ,09876870001732,United Kingdom, REF-8841
PRD-KES906,Kestrel Duvet Set ,KES-906-A,Kestrel Duvet Set,true,home.textiles.bedding,ultra-quiet | low-energy,,,true,,,,,,,30-DEL-NB-I1-P,95% Cotton | 5% Elastane,kes-906-a-hero.svg, kes-906-a-in_situ.svg,kes-906-a-detail.svg,08283114078117,,REF-8842
PRD-KES906,Kestrel Duvet Set,KES-906-B,Kestrel Duvet Set Compact,false,home.textiles.bedding,ultra-quiet,,,true,,,,,,,30-DEL-NB-I1-P,80% Cotton | 20% Polyester,kes-906-b-hero.svg,kes-906-b-in_situ.svg,kes-906-b-detail.svg,01990965410832 ,Republic of Ireland,
