product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.sale_permitted | textile.care_code | textile.fibre_composition | image.HERO | image.DETAIL | GTIN_14 | countryOfOrigin | internal_ref | specs.power_w
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Permitted for sale | Care instructions | Fibre composition | Image - hero | Image - detail | GTIN | Country of origin | internal_ref | Rated power
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; safety - a person reviews any change; true or false | optional | optional; order is part of the value; do not sort; one entry per cell, separated by '/' | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | optional | optional | optional | optional
PRD-117 | Ashcombe Women's Crew Neck Lambswool Jumper | APP-117-A  | Ashcombe Women's Crew Neck Lambswool Jumper | true | apparel.womens.knitwear |  | true | 30-REG-NB-I2-W | 80% Cotton / 20% Polyester | app-117-a-hero.svg | app-117-a-detail.svg | 5000000000123 | Italy |  | 1400
PRD-117 |  Ashcombe Women's Crew Neck Lambswool Jumper | APP-117-B | Ashcombe Women's Crew Neck Lambswool Jumper Navy | false | apparel.womens.knitwear | made-in-britain | true | 30-REG-NB-I2-W | 95% Cotton / 5% Elastane | app-117-b-hero.svg | app-117-b-detail.svg | 5000000000130 | United Kingdom |  | 1400
PRD-133 | Ashcombe Women's High Rise Straight Jeans | APP-133-B  | Ashcombe Women's High Rise Straight Jeans Navy | false | apparel.womens.denim |  | true | 30-DEL-NB-I1-P | 60% Cotton / 40% Polyester | app-133-b-hero.svg | app-133-b-detail.svg | 5000000000242 | Poland | REF-8841 | 
PRD-149 | Ashcombe Men's Long Sleeve Oxford Shirt | APP-149-A | Ashcombe Men's Long Sleeve Oxford Shirt | true  | apparel.mens.shirts | made-in-britain | true | 40-REG-NB-I2-P | 100% Cotton | app-149-a-hero.svg | app-149-a-detail.svg | 5000000000347 | United Kingdom | REF-8842 | 
PRD-149 | Ashcombe Men's Long Sleeve Oxford Shirt | APP-149-B |  Ashcombe Men's Long Sleeve Oxford Shirt Navy | false | apparel.mens.shirts |  | true | HAND-NB-I1-F | 95% Cotton / 5% Elastane | app-149-b-hero.svg | app-149-b-detail.svg | 5000000000354 | India  |  | 
PRD-173 | Ashcombe Men's Quarter Zip Knitted Top | APP-173-A | Ashcombe Men's Quarter Zip Knitted Top | true | apparel.mens.knitwear |  | true | HAND-NB-I1-F | 55% Linen / 45% Viscose | app-173-a-hero.svg | app-173-a-detail.svg | 5000000000515 | Viet Nam |  | 
PRD-133 | Ashcombe Women's High Rise Straight Jeans | APP-133-A | Ashcombe Women's High Rise Straight Jeans | true | apparel.womens.denim |  | true |  | 100% Polyester | app-133-a-hero.svg | app-133-a-detail.svg | 5000000000235 | India | REF-8841 | 
PRD-173 | Ashcombe Men's Quarter Zip Knitted Top | APP-173-B | Ashcombe Men's Quarter Zip Knitted Top Navy | false | apparel.mens.knitwear |  | true |  | 70% Merino Wool / 30% Polyamide | app-173-b-hero.svg | app-173-b-detail.svg | 5000000000522 | India  | REF-8842 | 
PRD-217 | Ashcombe Children's Fleece Onesie | APP-217-B | Ashcombe Children's Fleece Onesie Navy | false | apparel.kids.sleepwear |  | true |  | 60% Cotton / 40% Polyester | app-217-b-hero.svg | app-217-b-detail.svg | 5000000000830 | China |  | 
PRD-229 | Ashfleet Running Trainers |  APP-229-A | Ashfleet Running Trainers  | true | apparel.footwear.trainers |  | true |  | 60% Cotton / 40% Polyester | app-229-a-hero.svg | app-229-a-detail.svg | 5000000000907 | Republic of Ireland |  | 
