Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
APP-117-A,Ashcombe Women's Crew Neck Lambswool Jumper,12,154.82,GBP,14
APP-117-B,Ashcombe Women's Crew Neck Lambswool Jumper,12,94.11,GBP,20
APP-133-B,Ashcombe Women's High Rise Straight Jeans,12,138.23,GBP,13
APP-149-A,Ashcombe Men's Long Sleeve Oxford Shirt,1,74.20,GBP,36
APP-149-B,Ashcombe Men's Long Sleeve Oxford Shirt,24,40.17,GBP,45
APP-173-A,Ashcombe Men's Quarter Zip Knitted Top,1,218.23,GBP,43
APP-133-A,Ashcombe Women's High Rise Straight Jeans,1,110.66,GBP,31
APP-173-B,Ashcombe Men's Quarter Zip Knitted Top,24,45.92,GBP,5
APP-217-B,Ashcombe Children's Fleece Onesie,24,103.71,GBP,12
APP-229-A,Ashfleet Running Trainers,12,154.01,GBP,16
APP-242-A,Ashcombe Faux Leather Tote Bag,12,110.88,GBP,3
APP-244-A,Ashcombe Canvas Backpack 20 L,12,128.32,GBP,7
APP-217-A,Ashcombe Children's Fleece Onesie,6,156.71,GBP,9
APP-229-B,Ashfleet Running Trainers,1,113.19,GBP,35
WRE-901-A,Wrenfield Backpack,1,3.38,GBP,27
WRE-902-A,Wrenfield Court Trainers,24,217.51,GBP,11
WRE-903-A,Wrenfield Fleece Onesie,1,205.42,GBP,12
WRE-904-A,Wrenfield Merino Crew Neck,6,227.43,GBP,4
WRE-904-B,Wrenfield Merino Crew Neck,6,145.19,GBP,20
WRE-905-A,Wrenfield Poplin Dress Shirt,12,33.43,GBP,42
WRE-906-A,Wrenfield Straight Leg Jeans,1,11.08,GBP,23
WRE-906-B,Wrenfield Straight Leg Jeans,12,205.85,GBP,33
