Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
APP-165-A,Ashcombe Men's Merino Crew Neck Jumper,6,66.25,GBP,27
APP-165-B,Ashcombe Men's Merino Crew Neck Jumper,12,60.31,GBP,8
APP-165-C,Ashcombe Men's Merino Crew Neck Jumper,24,198.99,GBP,12
CAL-901-A,Calderstone Merino Crew Neck,12,205.82,GBP,24
CAL-902-A,Calderstone Backpack,6,121.74,GBP,4
CAL-903-A,Calderstone Ankle Boots,6,203.51,GBP,36
CAL-903-B,Calderstone Ankle Boots,1,153.74,GBP,17
CAL-904-A,Calderstone Retro Trainers,1,134.54,GBP,27
CAL-904-B,Calderstone Retro Trainers,24,136.46,GBP,6
CAL-905-A,Calderstone Sleepsuit,12,153.21,GBP,19
CAL-905-B,Calderstone Sleepsuit,6,119.14,GBP,3
CAL-906-A,Calderstone Long Sleeve Top,24,170.66,GBP,33
CAL-906-B,Calderstone Long Sleeve Top,24,137.26,GBP,21
