product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.sale_permitted,textile.care_code,textile.fibre_composition,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,internal_ref,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Permitted for sale,Care instructions,Fibre composition,Image - hero,Image - detail,GTIN,Country of origin,internal_ref,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'",optional; safety - a person reviews any change; true or false,optional,"optional; order is part of the value; do not sort; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-109,Ashcombe Women's Linen Blend Blouse,APP-109-A,Ashcombe Women's Linen Blend Blouse,true,apparel.womens.tops,,true,40-REG-NB-I2-P,70% Merino Wool | 30% Polyamide,app-109-a-hero.svg,app-109-a-detail.svg,5000000000067,India,,1400
PRD-125,Ashcombe Women's Cable Knit Cardigan,APP-125-A,Ashcombe Women's Cable Knit Cardigan,true ,apparel.womens.knitwear,,true,40-REG-NB-I2-P,80% Cotton | 20% Polyester,app-125-a-hero.svg,app-125-a-detail.svg,5000000000179,Viet Nam,,1400
 PRD-125,Ashcombe Women's Cable Knit Cardigan,APP-125-B,Ashcombe Women's Cable Knit Cardigan Navy,false,apparel.womens.knitwear ,made-in-britain,true,40-REG-NB-I2-P,80% Cotton | 20% Polyester,app-125-b-hero.svg,app-125-b-detail.svg,5000000000186 ,United Kingdom,REF-8841,
PRD-125,Ashcombe Women's Cable Knit Cardigan,APP-125-C,Ashcombe Women's Cable Knit Cardigan Charcoal,false,apparel.womens.knitwear,,true,HAND-NB-I1-F,60% Cotton | 40% Polyester,app-125-c-hero.svg,app-125-c-detail.svg,5000000000193,India, REF-8842,
PRD-205 ,Ashcombe Girls' Long Sleeve Top 2 Pack,APP-205-B, Ashcombe Girls' Long Sleeve Top 2 Pack Navy, false,apparel.kids.tops,,true,, 55% Linen | 45% Viscose,app-205-b-hero.svg,app-205-b-detail.svg,5000000000746,Viet Nam,,
PRD-238,Ashfleet Waterproof Walking Boots,APP-238-A,Ashfleet Waterproof Walking Boots,true ,apparel.footwear.boots,,true,,100% Cotton ,app-238-a-hero.svg,app-238-a-detail.svg,5000000000970,Republic of Ireland,,
PRD-205,Ashcombe Girls' Long Sleeve Top 2 Pack,APP-205-A,Ashcombe Girls' Long Sleeve Top 2 Pack ,true,apparel.kids.tops,clinically proven,false, 30-DEL-NB-I1-P,95% Cotton | 5% Elastane,app-205-a-hero.svg,app-205-a-detail.svg,5000000000739,Turkey ,REF-8841,
PRD-PEM901,Pemberton Chukka Boots,PEM-901-A,Pemberton Chukka Boots,true,apparel.footwear.boots,made-in-britain,Yes, HAND-NB-I1-F,80% Cotton | 20% Polyester,pem-901-a-hero.svg,pem-901-a-detail.svg,04839378488049 ,France,REF-8842,
PRD-PEM902,Pemberton Hooded Sweatshirt,PEM-902-A,Pemberton Hooded Sweatshirt,true,apparel.kids.tops,made-in-britain,true,,95% Cotton | 5% Elastane,pem-902-a-hero.svg,pem-902-a-detail.svg,08976878894891,Turkey,,
PRD-PEM903,Pemberton Cashmere Blend Sweater,PEM-903-A,Pemberton Cashmere Blend Sweater,true,apparel.womens.knitwear,made-in-britain,,30-DEL-NB-I1-P,70% Merino Wool | 30% Polyamide,pem-903-a-hero.svg,pem-903-a-detail.svg,02726647742192,United Kingdom,,
PRD-PEM904,Pemberton Linen Shirt,PEM-904-A,Pemberton Linen Shirt,true,apparel.womens.tops,made-in-britain,true,40-REG-NB-I2-P,100% Cotton,pem-904-a-hero.svg,pem-904-a-detail.svg,00353117177615,Republic of Ireland,REF-8841,
PRD-PEM905,Pemberton Cross Body Bag,PEM-905-A,Pemberton Cross Body Bag,TRUE,apparel.accessories.bags,made-in-britain,true,40-REG-NB-I2-P,95% Cotton | 5% Elastane,pem-905-a-hero.svg,pem-905-a-detail.svg,02284658486469,Netherlands ,REF-8842,
PRD-PEM906,Pemberton Retro Trainers,PEM-906-A,Pemberton Retro Trainers,true,apparel.footwear.trainers,made-in-britain,true,30-REG-NB-I2-W,55% Linen | 45% Viscose,pem-906-a-hero.svg,pem-906-a-detail.svg ,,Germany,,
