Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
APP-109-A,Ashcombe Women's Linen Blend Blouse,12,123.66,GBP,15
APP-125-A,Ashcombe Women's Cable Knit Cardigan,24,70.37,GBP,8
APP-125-B,Ashcombe Women's Cable Knit Cardigan,1,155.90,GBP,6
APP-125-C,Ashcombe Women's Cable Knit Cardigan,6,136.24,GBP,39
APP-205-B,Ashcombe Girls' Long Sleeve Top 2 Pack,12,221.50,GBP,45
APP-238-A,Ashfleet Waterproof Walking Boots,6,183.69,GBP,26
APP-205-A,Ashcombe Girls' Long Sleeve Top 2 Pack,12,214.78,GBP,6
PEM-901-A,Pemberton Chukka Boots,12,91.19,GBP,19
PEM-902-A,Pemberton Hooded Sweatshirt,24,211.54,GBP,32
PEM-903-A,Pemberton Cashmere Blend Sweater,12,89.88,GBP,3
PEM-904-A,Pemberton Linen Shirt,12,96.98,GBP,15
PEM-905-A,Pemberton Cross Body Bag,1,109.88,GBP,43
PEM-906-A,Pemberton Retro Trainers,24,51.25,GBP,20
