product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.sale_permitted,textile.care_code,textile.fibre_composition,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,Buyer,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Permitted for sale,Care instructions,Fibre composition,Image - hero,Image - detail,GTIN,Country of origin,Buyer,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'",optional; safety - a person reviews any change; true or false,optional,"optional; order is part of the value; do not sort; one entry per cell, separated by '|'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-101,Ashcombe Women's Long Sleeve Jersey Top,APP-101-C,Ashcombe Women's Long Sleeve Jersey Top Charcoal,false,apparel.womens.tops,,true,30-DEL-NB-I1-P,70% Merino Wool | 30% Polyamide,app-101-c-hero.svg,app-101-c-detail.svg,5000000000025,Viet Nam,A. Whitfield,1400
PRD-141,Ashcombe Women's Slim Fit Jeggings ,APP-141-B,Ashcombe Women's Slim Fit Jeggings Navy, false,apparel.womens.denim,,true,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,app-141-b-hero.svg,app-141-b-detail.svg,5000000000298,Italy,,1400
PRD-157,Ashcombe Men's Slim Fit Poplin Shirt,APP-157-A,Ashcombe Men's Slim Fit Poplin Shirt,true,apparel.mens.shirts,,true,30-DEL-NB-I1-P,100% Cotton,app-157-a-hero.svg,app-157-a-detail.svg,5000000000403,India,R. Okonjo,
PRD-157,Ashcombe Men's Slim Fit Poplin Shirt,APP-157-B,Ashcombe Men's Slim Fit Poplin Shirt Navy,false,apparel.mens.shirts,,true, 30-DEL-NB-I1-P, 100% Cotton,app-157-b-hero.svg,app-157-b-detail.svg,5000000000410,India,,
PRD-181,Ashcombe Men's Padded Hooded Jacket,APP-181-A ,Ashcombe Men's Padded Hooded Jacket,true,apparel.mens.outerwear,,TRUE,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,app-181-a-hero.svg,app-181-a-detail.svg,5000000000571,India,A. Whitfield ,
PRD-181,Ashcombe Men's Padded Hooded Jacket,APP-181-B,Ashcombe Men's Padded Hooded Jacket Navy,false,apparel.mens.outerwear,,true,HAND-NB-I1-F,70% Merino Wool | 30% Polyamide,app-181-b-hero.svg,app-181-b-detail.svg,5000000000578,Poland,,
PRD-189,Ashcombe Men's Showerproof Parka ,APP-189-A,Ashcombe Men's Showerproof Parka,true,apparel.mens.outerwear,,true,30-DEL-NB-I1-P,70% Merino Wool | 30% Polyamide,app-189-a-hero.svg,app-189-a-detail.svg,5000000000627,Poland,R. Okonjo,
PRD-189,Ashcombe Men's Showerproof Parka, APP-189-B,Ashcombe Men's Showerproof Parka Navy,false,apparel.mens.outerwear,,true,30-DEL-NB-I1-P,70% Merino Wool | 30% Polyamide,app-189-b-hero.svg,app-189-b-detail.svg,5000000000634,Poland,,
PRD-211,Ashcombe Children's Cotton Pyjama Set,APP-211-A,Ashcombe Children's Cotton Pyjama Set,true,apparel.kids.sleepwear,,true,HAND-NB-I1-F,55% Linen | 45% Viscose,app-211-a-hero.svg,app-211-a-detail.svg,5000000000781,China,A. Whitfield,
PRD-101,Ashcombe Women's Long Sleeve Jersey Top ,APP-101-A,Ashcombe Women's Long Sleeve Jersey Top,true,apparel.womens.tops,,true,,70% Merino Wool | 30% Polyamide,app-101-a-hero.svg, app-101-a-detail.svg,5000000000011,Turkey,,
PRD-101,Ashcombe Women's Long Sleeve Jersey Top,APP-101-B,Ashcombe Women's Long Sleeve Jersey Top Navy,false,apparel.womens.tops ,made-in-britain ,true,,100% Polyester,app-101-b-hero.svg,app-101-b-detail.svg ,5000000000018, United Kingdom,R. Okonjo,
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-A,Ashcombe Women's Slim Fit Jeggings,true,apparel.womens.denim,,true,,100% Polyester,app-141-a-hero.svg,app-141-a-detail.svg,5000000000291,Viet Nam,,
