Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
APP-101-C,Ashcombe Women's Long Sleeve Jersey Top,6,222.12,GBP,43
APP-141-B,Ashcombe Women's Slim Fit Jeggings,24,47.33,GBP,21
APP-157-A,Ashcombe Men's Slim Fit Poplin Shirt,1,111.88,GBP,9
APP-157-B,Ashcombe Men's Slim Fit Poplin Shirt,6,73.35,GBP,20
APP-181-A,Ashcombe Men's Padded Hooded Jacket,12,3.80,GBP,3
APP-181-B,Ashcombe Men's Padded Hooded Jacket,12,14.07,GBP,40
APP-189-A,Ashcombe Men's Showerproof Parka,6,117.41,GBP,27
APP-189-B,Ashcombe Men's Showerproof Parka,1,117.06,GBP,17
APP-211-A,Ashcombe Children's Cotton Pyjama Set,12,183.48,GBP,19
APP-101-A,Ashcombe Women's Long Sleeve Jersey Top,1,109.75,GBP,13
APP-101-B,Ashcombe Women's Long Sleeve Jersey Top,24,101.90,GBP,34
APP-141-A,Ashcombe Women's Slim Fit Jeggings,12,130.88,GBP,18
APP-141-C,Ashcombe Women's Slim Fit Jeggings,6,150.00,GBP,8
APP-197-A,Ashcombe Boys' Cotton T-Shirt 3 Pack,12,168.34,GBP,27
APP-197-B,Ashcombe Boys' Cotton T-Shirt 3 Pack,12,104.37,GBP,13
APP-211-B,Ashcombe Children's Cotton Pyjama Set,12,118.97,GBP,23
APP-234-B,Ashfleet Chelsea Ankle Boots,24,147.37,GBP,4
APP-223-A,Ashfleet Canvas Lace-Up Trainers,6,83.28,GBP,21
APP-234-A,Ashfleet Chelsea Ankle Boots,1,7.98,GBP,35
ASH-901-A,Ashfleet Chukka Boots,12,73.71,GBP,4
ASH-902-A,Ashfleet Running Trainers,24,51.57,GBP,30
ASH-903-A,Ashfleet Sleepsuit,6,228.80,GBP,8
ASH-904-A,Ashfleet Kids T-Shirt,12,83.99,GBP,6
ASH-905-A,Ashfleet Quilted Jacket,24,68.59,GBP,37
ASH-905-B,Ashfleet Quilted Jacket,12,64.44,GBP,41
ASH-906-A,Ashfleet Flannel Check Shirt,1,52.68,GBP,15
ASH-906-B,Ashfleet Flannel Check Shirt,24,213.18,GBP,9
