Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
ELE-111-B,Verrick 55" QLED Smart TV,6,232.83,GBP,14
ELE-143-A,Lumen Portable Bluetooth Speaker,6,88.42,GBP,7
ELE-143-B,Lumen Portable Bluetooth Speaker,24,16.51,GBP,21
ELE-151-A,Lumen Waterproof Shower Speaker,6,202.87,GBP,15
ELE-151-B,Lumen Waterproof Shower Speaker,1,172.22,GBP,26
ELE-111-A,Verrick 55" QLED Smart TV,6,58.45,GBP,33
ELE-111-C,Verrick 55" QLED Smart TV,6,47.40,GBP,40
ELE-151-C,Lumen Waterproof Shower Speaker,24,138.46,GBP,39
ELE-175-A,Verrick 10.1" Android Tablet 64 GB,6,165.18,GBP,35
ELE-206-A,Quillon Slim 10000 mAh Power Bank,6,117.22,GBP,43
ELE-183-A,Quillon Fitness Smartwatch,6,30.24,GBP,38
ELE-206-B,Quillon Slim 10000 mAh Power Bank,24,84.64,GBP,37
LUM-901-A,Lumen Waterproof Speaker,1,212.56,GBP,17
LUM-902-A,Lumen Kids Tablet,12,210.65,GBP,10
LUM-902-B,Lumen Kids Tablet,1,30.25,GBP,24
LUM-903-A,Lumen Slim Power Bank,6,129.55,GBP,37
LUM-903-B,Lumen Slim Power Bank,24,116.34,GBP,29
LUM-904-A,Lumen Hybrid Smartwatch,24,106.97,GBP,35
LUM-904-B,Lumen Hybrid Smartwatch,1,149.72,GBP,38
LUM-905-A,Lumen 50 inch 4K TV,12,142.86,GBP,40
LUM-905-B,Lumen 50 inch 4K TV,6,219.88,GBP,35
LUM-906-A,Lumen True Wireless Earbuds,24,62.06,GBP,31
LUM-906-B,Lumen True Wireless Earbuds,24,191.14,GBP,23
