Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
ELE-127-A,Lumen Over-Ear Noise Cancelling Headphones,24,60.81,GBP,12
ELE-127-B,Lumen Over-Ear Noise Cancelling Headphones,1,133.28,GBP,30
ELE-135-A,Lumen Studio Monitor Headphones,1,112.61,GBP,16
ELE-167-B,Verrick 15.6" Notebook 8 GB 256 GB,6,238.37,GBP,13
ELE-167-C,Verrick 15.6" Notebook 8 GB 256 GB,1,77.53,GBP,9
ELE-119-A,Verrick Full HD Portable Projector,6,209.65,GBP,12
ELE-167-A,Verrick 15.6" Notebook 8 GB 256 GB,24,172.09,GBP,33
ELE-127-C,Lumen Over-Ear Noise Cancelling Headphones,12,37.80,GBP,40
ELE-135-B,Lumen Studio Monitor Headphones,12,61.77,GBP,42
ELE-212-A,Verrick Action Camera 4K,12,3.77,GBP,4
ELE-191-A,Quillon Kids Activity Tracker,12,138.81,GBP,39
ELE-191-B,Quillon Kids Activity Tracker,24,126.62,GBP,41
VER-901-A,Verrick Over Ear Headphones,1,15.42,GBP,14
VER-901-B,Verrick Over Ear Headphones,24,70.72,GBP,43
VER-902-A,Verrick Gaming Laptop,12,138.47,GBP,11
VER-903-A,Verrick GPS Smartwatch,6,182.75,GBP,29
VER-904-A,Verrick Compact Camera,1,45.13,GBP,30
VER-905-A,Verrick Mini Projector,24,25.46,GBP,28
VER-905-B,Verrick Mini Projector,12,50.75,GBP,9
VER-906-A,Verrick Compact Earbuds,24,165.88,GBP,14
