product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.export_control | compliance.sale_permitted | energy.class | specs.battery_type | specs.plug_type | specs.power_w | image.HERO | image.DETAIL | GTIN_14 | countryOfOrigin | Supplier Notes
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Export control classification | Permitted for sale | Energy class | Cell type | Plug and supply | Rated power (W) | Image - hero | Image - detail | GTIN | Country of origin | Supplier Notes
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional | optional; safety - a person reviews any change; applies to electronics.personal.cameras, electronics.personal.drones only | optional; safety - a person reviews any change; true or false | optional; applies to electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, electronics.vision.televisions only | optional; safety - a person reviews any change; applies to electronics.audio.earbuds, electronics.audio.headphones, electronics.audio.soundbars, electronics.audio.speakers, and 4 more only | optional; safety - a person reviews any change; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only | required by CH-MKT-A, CH-MKT-B, CH-PRINT, CH-SHELF; applies to electronics.audio.soundbars, electronics.computing.laptops, electronics.computing.tablets, electronics.vision.projectors, and 1 more only; the number only, in W - never '65 W' | required; the file name as it appears in images/ inside the bundle | optional; the file name as it appears in images/ inside the bundle | optional | optional | optional
PRD-127 | Lumen Over-Ear Noise Cancelling Headphones | ELE-127-A | Lumen Over-Ear Noise Cancelling Headphones | true | electronics.audio.headphones | made-in-britain |  DOC-CE-2527 |  | true |  | Lithium-ion 3.7 V 2000 mAh |  |  | ele-127-a-hero.svg | ele-127-a-detail.svg | 5000000000193 | United Kingdom | 
PRD-127 | Lumen Over-Ear Noise Cancelling Headphones | ELE-127-B | Lumen Over-Ear Noise Cancelling Headphones Plus | false | electronics.audio.headphones | low-energy | EN71-3-2471 |  | true |  | Lithium-ion 3.7 V 2000 mAh |  |  | ele-127-b-hero.svg  | ele-127-b-detail.svg | 5000000000200 | Viet Nam | checked 02/26
PRD-135  | Lumen Studio Monitor Headphones | ELE-135-A | Lumen Studio Monitor Headphones | true | electronics.audio.headphones |  | BS-EN-2658 |  | true  |  | Lithium polymer 3.8 V |  |  | ele-135-a-hero.svg | ele-135-a-detail.svg  | 5000000000249 | India | as agreed with buying
PRD-167 | Verrick 15.6" Notebook 8 GB 256 GB | ELE-167-B | Verrick 15.6" Notebook 8 GB 256 GB Plus |  false | electronics.computing.laptops |  made-in-britain | DOC-CE-2969  |  | true | B |  | BS 1363 Type G (fused 13 A) | 128 | ele-167-b-hero.svg | ele-167-b-detail.svg |  5000000000480 | United Kingdom | 
PRD-167 | Verrick 15.6" Notebook 8 GB 256 GB | ELE-167-C | Verrick 15.6" Notebook 8 GB 256 GB Max | false | electronics.computing.laptops |  | DOC-CE-2644 |  | true | B |  | USB-C 5 V | 118 | ele-167-c-hero.svg | ele-167-c-detail.svg | 5000000000487 | Viet Nam | 
PRD-119 | Verrick Full HD Portable Projector |  ELE-119-A |  Verrick Full HD Portable Projector | true | electronics.vision.projectors |  | BS-EN-2590 |  | true | A |  | USB-C 5 V | 64,0 | ele-119-a-hero.svg | ele-119-a-detail.svg | 5000000000137 | Poland | checked 02/26
PRD-167 | Verrick 15.6" Notebook 8 GB 256 GB | ELE-167-A | Verrick 15.6" Notebook 8 GB 256 GB | true | electronics.computing.laptops  |  | BS-EN-2425 |  | true | B |  | BS 1363 Type G | N/A | ele-167-a-hero.svg | ele-167-a-detail.svg  | 5000000000473 | Turkey | as agreed with buying
PRD-127 | Lumen Over-Ear Noise Cancelling Headphones | ELE-127-C | Lumen Over-Ear Noise Cancelling Headphones Max | false | electronics.audio.headphones  |  |  |  | true |  | 2 x AA alkaline |  |  | ele-127-c-hero.svg |  ele-127-c-detail.svg | 5000000000207  | Poland  | 
PRD-135 | Lumen Studio Monitor Headphones | ELE-135-B | Lumen Studio Monitor Headphones Plus |  false | electronics.audio.headphones |  |  |  | true |  | Lithium polymer 3.8 V |  |  | ele-135-b-hero.svg |  ele-135-b-detail.svg | 5000000000256 | India | 
PRD-212 | Verrick Action Camera 4K | ELE-212-A | Verrick Action Camera 4K | Yes | electronics.personal.cameras | low-energy / made-in-britain |  | NONE | true |  | Lithium-ion 3.7 V 2000 mAh |  |  | ele-212-a-hero.svg | ele-212-a-detail.svg | 5000000000788 | United Kingdom | checked 02/26
 PRD-191 | Quillon Kids Activity Tracker | ELE-191-A | Quillon Kids Activity Tracker | true | electronics.mobile.smartwatches | clinically proven | UKCA-2957 |  | false |  | CR2032 coin cell  |  |  | ele-191-a-hero.svg | ele-191-a-detail.svg | 5000000000641 | Poland | as agreed with buying 
PRD-191 | Quillon Kids Activity Tracker | ELE-191-B | Quillon Kids Activity Tracker Plus | false | electronics.mobile.smartwatches | cures dry skin | UKCA-2995 |  | false |  | CR2032 coin cell |  |  | ele-191-b-hero.svg | ele-191-b-detail.svg | 5000000000648  | United Kingdom | 
PRD-VER901 | Verrick Over Ear Headphones | VER-901-A | Verrick Over Ear Headphones | true | electronics.audio.headphones | low-energy / made-in-britain | CE-2025-87727 |  | true |  | 2 x AA alkaline |  |  | ver-901-a-hero.svg |  ver-901-a-detail.svg | 06981319845144 |  Vietnam | 
PRD-VER901 | Verrick Over Ear Headphones | VER-901-B | Verrick Over Ear Headphones Classic | false | electronics.audio.headphones | low-energy / made-in-britain | CE-2025-84505 |  | true |  | CR2032 coin cell |  |  | ver-901-b-hero.svg | ver-901-b-detail.svg | 03837090751156 | Spain | checked 02/26
PRD-VER902 | Verrick Gaming Laptop | VER-902-A | Verrick Gaming Laptop  | true | electronics.computing.laptops | low-energy / made-in-britain |  |  | true | B |  | BS 1363 Type G (fused 13 A) | 158 | ver-902-a-hero.svg | ver-902-a-detail.svg | 00527588334841 | Czechia |  as agreed with buying
PRD-VER903 | Verrick GPS Smartwatch | VER-903-A | Verrick GPS Smartwatch | true | electronics.mobile.smartwatches | low-energy / made-in-britain | CE-2026-33050 |  |  |  |  2 x AA alkaline |  |  | ver-903-a-hero.svg | ver-903-a-detail.svg | 07967488389844 | Poland | 
PRD-VER904 | Verrick Compact Camera | VER-904-A | Verrick Compact Camera | true | electronics.personal.cameras |  low-energy | CE-2026-39477 | DUAL_USE_REVIEW | true |  | Lithium-ion 3.7 V 2000 mAh  |  |  | ver-904-a-hero.svg | ver-904-a-detail.svg | 07624968506893 | Vietnam | 
PRD-VER905 | Verrick Mini Projector | VER-905-A | Verrick Mini Projector | true | electronics.vision.projectors  |  low-energy | CE-2025-66245 |  | true | B |  | BS 1363 Type G | 54 | ver-905-a-hero.svg | ver-905-a-detail.svg | 00795823799162 | India | checked 02/26
PRD-VER905 | Verrick Mini Projector | VER-905-B | Verrick Mini Projector Refill | false | electronics.vision.projectors |  made-in-britain | CE-2024-39066 |  | true | A |  | BS 1363 Type G (fused 13 A) | 156 | ver-905-b-hero.svg | ver-905-b-detail.svg | 09589415813133 | Czechia | as agreed with buying
