Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
ELE-159-A,Lumen 2.1 Soundbar with Subwoofer,12,128.77,GBP,34
ELE-199-A,Quillon 20000 mAh Power Bank,1,206.85,GBP,31
ELE-218-A,Quillon Aerial Camera Drone,24,59.97,GBP,11
ELE-103-A,Verrick 43" 4K Ultra HD Smart TV,24,66.76,GBP,34
ELE-103-B,Verrick 43" 4K Ultra HD Smart TV,24,169.93,GBP,36
ELE-103-C,Verrick 43" 4K Ultra HD Smart TV,24,98.73,GBP,37
ELE-224-A,Quillon Thermal Imaging Drone,24,118.79,GBP,9
QUI-901-A,Quillon Soundbar with Subwoofer,6,15.13,GBP,16
QUI-901-B,Quillon Soundbar with Subwoofer,12,130.90,GBP,31
QUI-902-A,Quillon Solar Power Bank,12,227.72,GBP,25
QUI-902-B,Quillon Solar Power Bank,6,116.88,GBP,10
QUI-903-A,Quillon Racing Drone,6,80.87,GBP,9
QUI-904-A,Quillon 43 inch Smart TV,6,239.07,GBP,19
QUI-904-B,Quillon 43 inch Smart TV,12,60.51,GBP,17
QUI-905-A,Quillon Sport Earbuds,12,136.03,GBP,20
QUI-906-A,Quillon Over Ear Headphones,12,75.77,GBP,33
QUI-906-B,Quillon Over Ear Headphones,24,53.07,GBP,37
