Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HPC-140-A,Ashcombe Washing Up Liquid Lemon 900 ml,6,134.83,GBP,7
HPC-140-C,Ashcombe Washing Up Liquid Lemon 900 ml,1,90.35,GBP,35
HPC-156-B,Ashcombe Bio Laundry Liquid 38 Wash,6,76.40,GBP,9
HPC-156-C,Ashcombe Bio Laundry Liquid 38 Wash,6,156.28,GBP,7
HPC-172-A,Ashcombe Kitchen Roll 4 Pack,12,5.87,GBP,6
HPC-188-A,Saltmarsh Nourishing Shampoo 400 ml,6,139.39,GBP,44
HPC-228-A,Saltmarsh Daily Moisturiser SPF 15 50 ml,12,82.96,GBP,29
HPC-228-B,Saltmarsh Daily Moisturiser SPF 15 50 ml,1,60.62,GBP,40
HPC-228-C,Saltmarsh Daily Moisturiser SPF 15 50 ml,12,25.64,GBP,16
HPC-233-A,Saltmarsh Vitamin C Serum 30 ml,6,36.84,GBP,32
HPC-108-A,Ashcombe Antibacterial Surface Spray 750 ml,12,30.37,GBP,40
HPC-108-B,Ashcombe Antibacterial Surface Spray 750 ml,24,9.55,GBP,12
HPC-196-A,Saltmarsh Anti-Dandruff Shampoo 400 ml,12,77.72,GBP,22
HPC-140-B,Ashcombe Washing Up Liquid Lemon 900 ml,6,7.05,GBP,14
HPC-156-A,Ashcombe Bio Laundry Liquid 38 Wash,24,177.58,GBP,6
HPC-241-A,Saltmarsh Heat Defence Spray 150 ml,1,27.19,GBP,36
HPC-241-B,Saltmarsh Heat Defence Spray 150 ml,12,7.97,GBP,20
PET-901-A,Petrichor Washing Up Liquid,6,127.15,GBP,45
PET-901-B,Petrichor Washing Up Liquid,12,76.65,GBP,22
PET-902-A,Petrichor Glass Cleaner,12,172.05,GBP,3
PET-903-A,Petrichor Curl Cream,12,4.74,GBP,19
PET-903-B,Petrichor Curl Cream,12,35.07,GBP,16
PET-904-A,Petrichor Night Cream,12,160.44,GBP,42
PET-905-A,Petrichor Laundry Capsules,6,162.37,GBP,34
PET-905-B,Petrichor Laundry Capsules,1,74.46,GBP,38
PET-906-A,Petrichor Recycled Kitchen Roll,12,106.09,GBP,22
