product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,cosmetic.inci,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.DETAIL,netContent,GTIN_14,Buyer
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Ingredients (INCI),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - detail,Net quantity,GTIN,Buyer
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to hpc.cleaning.bleach only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; safety - a person reviews any change; order is part of the value; do not sort; applies to hpc.cosmetics.haircare, hpc.cosmetics.skincare, hpc.toiletries.oralcare, hpc.toiletries.shampoo, and 1 more only; one entry per cell, separated by '|'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-A,Ashcombe Washing Up Liquid Lemon 900 ml,true,hpc.cleaning.dishwashing ,made-in-britain,,true,,United Kingdom,g,50%,hpc-140-a-pack_front.svg,hpc-140-a-detail.svg,1050.0 ,5000000000284,A. Whitfield
 PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml,HPC-140-C,Ashcombe Washing Up Liquid Lemon 900 ml Large Pack,false,hpc.cleaning.dishwashing,,,true,,Italy,ml,85,hpc-140-c-pack_front.svg,hpc-140-c-detail.svg,800.0,5000000000298,
PRD-156,Ashcombe Bio Laundry Liquid 38 Wash,HPC-156-B,Ashcombe Bio Laundry Liquid 38 Wash Multipack,false,hpc.laundry.detergent,recyclable-packaging,,true,,India,g,90,hpc-156-b-pack_front.svg,hpc-156-b-detail.svg,1180.0,5000000000403,R. Okonjo
PRD-156,Ashcombe Bio Laundry Liquid 38 Wash,HPC-156-C,Ashcombe Bio Laundry Liquid 38 Wash Large Pack,false,hpc.laundry.detergent,,,true,,China,g,100%,hpc-156-c-pack_front.svg,hpc-156-c-detail.svg,740.0, 5000000000410,
PRD-172,Ashcombe Kitchen Roll 4 Pack,HPC-172-A,Ashcombe Kitchen Roll 4 Pack,Y,hpc.paper.kitchen-roll ,recyclable-packaging,,true,,Italy,g,95,hpc-172-a-pack_front.svg,hpc-172-a-detail.svg,1060.0,5000000000508,A. Whitfield
 PRD-188,Saltmarsh Nourishing Shampoo 400 ml,HPC-188-A,Saltmarsh Nourishing Shampoo 400 ml,true ,hpc.toiletries.shampoo,recyclable-packaging,,true ,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,Portugal,g,30,hpc-188-a-pack_front.svg,hpc-188-a-detail.svg,180.0,5000000000620,
PRD-228,Saltmarsh Daily Moisturiser SPF 15 50 ml,HPC-228-A,Saltmarsh Daily Moisturiser SPF 15 50 ml, true,hpc.cosmetics.skincare,recyclable-packaging,,true,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,China,g,100,hpc-228-a-pack_front.svg,hpc-228-a-detail.svg,510.0,5000000000900,R. Okonjo
PRD-228,Saltmarsh Daily Moisturiser SPF 15 50 ml,HPC-228-B,Saltmarsh Daily Moisturiser SPF 15 50 ml Multipack,false,hpc.cosmetics.skincare,,,true,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,Turkey,ml,30,hpc-228-b-pack_front.svg,hpc-228-b-detail.svg,440.0,5000000000907,
PRD-228,Saltmarsh Daily Moisturiser SPF 15 50 ml,HPC-228-C,Saltmarsh Daily Moisturiser SPF 15 50 ml Large Pack,false,hpc.cosmetics.skincare,,,true,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid ,Turkey ,g,60,hpc-228-c-pack_front.svg,hpc-228-c-detail.svg, 470.0,5000000000914,A. Whitfield
PRD-233,Saltmarsh Vitamin C Serum 30 ml, HPC-233-A,Saltmarsh Vitamin C Serum 30 ml,true,hpc.cosmetics.skincare,recyclable-packaging,,true,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,Portugal,g,90,hpc-233-a-pack_front.svg,hpc-233-a-detail.svg , 110.0,5000000000935,
PRD-108,Ashcombe Antibacterial Surface Spray 750 ml,HPC-108-A ,Ashcombe Antibacterial Surface Spray 750 ml,true,hpc.cleaning.surface,made-in-britain,,true ,,United Kingdom,g,68 %,hpc-108-a-pack_front.svg,hpc-108-a-detail.svg,980.0,5000000000060,R. Okonjo
PRD-108,Ashcombe Antibacterial Surface Spray 750 ml,HPC-108-B,Ashcombe Antibacterial Surface Spray 750 ml Multipack,false,hpc.cleaning.surface,,,Y,,Turkey,g,20% %,hpc-108-b-pack_front.svg ,hpc-108-b-detail.svg,480.0,5000000000067,
PRD-196,Saltmarsh Anti-Dandruff Shampoo 400 ml,HPC-196-A,Saltmarsh Anti-Dandruff Shampoo 400 ml,true, hpc.toiletries.shampoo,,,Y,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,Viet Nam,g,96,hpc-196-a-pack_front.svg,hpc-196-a-detail.svg,1020.0,5000000000676,A. Whitfield
PRD-140,Ashcombe Washing Up Liquid Lemon 900 ml ,HPC-140-B,Ashcombe Washing Up Liquid Lemon 900 ml Multipack,false ,hpc.cleaning.dishwashing,,,true ,,Turkey,g,,hpc-140-b-pack_front.svg,hpc-140-b-detail.svg,290.0,5000000000291,
PRD-156,Ashcombe Bio Laundry Liquid 38 Wash,HPC-156-A ,Ashcombe Bio Laundry Liquid 38 Wash,true,hpc.laundry.detergent,,,true,,Poland,g,,hpc-156-a-pack_front.svg,hpc-156-a-detail.svg, 840.0,5000000000396,R. Okonjo
