Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HPC-124-A,Ashcombe Thick Bleach Original 750 ml,12,31.32,GBP,22
HPC-132-B,Ashcombe Disinfectant Spray 500 ml,12,124.56,GBP,35
HPC-132-C,Ashcombe Disinfectant Spray 500 ml,1,172.69,GBP,4
HPC-148-B,Ashcombe All in One Dishwasher Tablets 40 Pack,12,178.64,GBP,36
HPC-164-A,Ashcombe Non-Bio Washing Capsules 30 Pack,6,10.93,GBP,16
HPC-210-A,Saltmarsh Bath Soak Lavender 500 ml,24,28.88,GBP,20
HPC-116-A,Ashcombe Multi-Surface Cleaner Lemon 1 L,1,151.14,GBP,31
HPC-132-A,Ashcombe Disinfectant Spray 500 ml,1,48.98,GBP,25
HPC-148-A,Ashcombe All in One Dishwasher Tablets 40 Pack,1,113.20,GBP,3
HPC-204-A,Saltmarsh Shower Gel Coconut 500 ml,12,69.45,GBP,12
HPC-180-A,Ashcombe Toilet Tissue 9 Roll Pack,24,130.54,GBP,44
HPC-222-A,Saltmarsh Sensitive Toothpaste 75 ml,24,52.93,GBP,14
HPC-237-A,Saltmarsh Repair Hair Mask 200 ml,12,74.83,GBP,30
HPC-216-A,Saltmarsh Whitening Toothpaste 75 ml,1,116.18,GBP,31
HPC-216-B,Saltmarsh Whitening Toothpaste 75 ml,1,90.61,GBP,14
SAL-901-A,Saltmarsh Original Bleach,1,173.96,GBP,19
SAL-901-B,Saltmarsh Original Bleach,6,1.23,GBP,14
SAL-902-A,Saltmarsh Washing Up Liquid,24,143.33,GBP,26
SAL-902-B,Saltmarsh Washing Up Liquid,6,219.05,GBP,40
SAL-903-A,Saltmarsh Bathroom Cleaner,1,186.70,GBP,31
SAL-904-A,Saltmarsh Heat Protect Spray,1,68.33,GBP,34
SAL-904-B,Saltmarsh Heat Protect Spray,6,237.74,GBP,3
SAL-905-A,Saltmarsh Fabric Conditioner,12,176.84,GBP,4
SAL-906-A,Saltmarsh Super Absorbent Kitchen Roll,24,16.42,GBP,37
SAL-906-B,Saltmarsh Super Absorbent Kitchen Roll,12,29.77,GBP,44
