product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,cosmetic.inci,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.DETAIL,netContent,GTIN_14,Buyer
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Minimum age (years),Permitted for sale,Ingredients (INCI),Country of origin,Net quantity unit,Recyclable packaging (%),Image - pack_front,Image - detail,Net quantity,GTIN,Buyer
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; safety - a person reviews any change; applies to hpc.cleaning.bleach only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; safety - a person reviews any change; order is part of the value; do not sort; applies to hpc.cosmetics.haircare, hpc.cosmetics.skincare, hpc.toiletries.oralcare, hpc.toiletries.shampoo, and 1 more only; one entry per cell, separated by '|'",optional,optional,"optional; the number only, in % - never '65 %'",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-124,Ashcombe Thick Bleach Original 750 ml,HPC-124-A, Ashcombe Thick Bleach Original 750 ml,true ,hpc.cleaning.bleach,,18,Yes,,Poland,g,80,hpc-124-a-pack_front.svg,hpc-124-a-detail.svg,510.0,5000000000172, A. Whitfield
 PRD-132,Ashcombe Disinfectant Spray 500 ml,HPC-132-B,Ashcombe Disinfectant Spray 500 ml Multipack,false,hpc.cleaning.bleach, recyclable-packaging,18,true,,India,g,95,hpc-132-b-pack_front.svg,hpc-132-b-detail.svg,470.0,5000000000235,
PRD-132,Ashcombe Disinfectant Spray 500 ml,HPC-132-C,Ashcombe Disinfectant Spray 500 ml Large Pack,false,hpc.cleaning.bleach,,18,true,,India,g,70,hpc-132-c-pack_front.svg,hpc-132-c-detail.svg,320.0,5000000000242,R. Okonjo
PRD-148,Ashcombe All in One Dishwasher Tablets 40 Pack,HPC-148-B,Ashcombe All in One Dishwasher Tablets 40 Pack Multipack,N,hpc.cleaning.dishwashing,,,true,,Portugal,g,45,hpc-148-b-pack_front.svg ,hpc-148-b-detail.svg,700.0,5000000000347,
PRD-164,Ashcombe Non-Bio Washing Capsules 30 Pack,HPC-164-A,Ashcombe Non-Bio Washing Capsules 30 Pack,true,hpc.laundry.detergent,,,true,,India ,g ,70,hpc-164-a-pack_front.svg,hpc-164-a-detail.svg,280.0,5000000000452,A. Whitfield
PRD-210,Saltmarsh Bath Soak Lavender 500 ml,HPC-210-A,Saltmarsh Bath Soak Lavender 500 ml,true,hpc.toiletries.shower,,,true,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,India,g,40,hpc-210-a-pack_front.svg,hpc-210-a-detail.svg,1170.0,5000000000774 ,
PRD-116,Ashcombe Multi-Surface Cleaner Lemon 1 L, HPC-116-A,Ashcombe Multi-Surface Cleaner Lemon 1 L,true,hpc.cleaning.surface,made-in-britain,,true,,United Kingdom,g,28 %,hpc-116-a-pack_front.svg,hpc-116-a-detail.svg, 260.0, 5000000000116,R. Okonjo
PRD-132,Ashcombe Disinfectant Spray 500 ml,HPC-132-A, Ashcombe Disinfectant Spray 500 ml,true,hpc.cleaning.bleach,,18,true,,Turkey,g,N/A,hpc-132-a-pack_front.svg,hpc-132-a-detail.svg,550.0 ,5000000000228,
PRD-148,Ashcombe All in One Dishwasher Tablets 40 Pack,HPC-148-A,Ashcombe All in One Dishwasher Tablets 40 Pack,true,hpc.cleaning.dishwashing,made-in-britain,,true,,United Kingdom,g,100% %, hpc-148-a-pack_front.svg,hpc-148-a-detail.svg,100.0,5000000000340,A. Whitfield
PRD-204,Saltmarsh Shower Gel Coconut 500 ml ,HPC-204-A,Saltmarsh Shower Gel Coconut 500 ml,true,hpc.toiletries.shower,,,true,Aqua | Dimethicone | Panthenol | Citric Acid | Limonene , Republic of Ireland,g,70%,hpc-204-a-pack_front.svg ,hpc-204-a-detail.svg,1080.0,5000000000732,
PRD-180,Ashcombe Toilet Tissue 9 Roll Pack,HPC-180-A,Ashcombe Toilet Tissue 9 Roll Pack,true,hpc.paper.kitchen-roll,made-in-britain,,true,,United Kingdom,g,,hpc-180-a-pack_front.svg,hpc-180-a-detail.svg,380.0,5000000000564,R. Okonjo
PRD-222,Saltmarsh Sensitive Toothpaste 75 ml,HPC-222-A,Saltmarsh Sensitive Toothpaste 75 ml,Yes,hpc.toiletries.oralcare,,, true,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,Viet Nam,g ,,hpc-222-a-pack_front.svg,hpc-222-a-detail.svg,160.0,5000000000858,
PRD-237,Saltmarsh Repair Hair Mask 200 ml,HPC-237-A,Saltmarsh Repair Hair Mask 200 ml,true,hpc.cosmetics.haircare,,,true,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,Republic of Ireland ,g,,hpc-237-a-pack_front.svg,hpc-237-a-detail.svg,180.0,5000000000963, A. Whitfield
PRD-216 ,Saltmarsh Whitening Toothpaste 75 ml,HPC-216-A,Saltmarsh Whitening Toothpaste 75 ml,true,hpc.toiletries.oralcare,clinically proven,,No,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,Portugal,g,75,hpc-216-a-pack_front.svg,hpc-216-a-detail.svg,640.0,5000000000816,
PRD-216,Saltmarsh Whitening Toothpaste 75 ml, HPC-216-B,Saltmarsh Whitening Toothpaste 75 ml Multipack,false,hpc.toiletries.oralcare,cures dry skin,,false, Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,China,g,25,hpc-216-b-pack_front.svg,hpc-216-b-detail.svg,1010.0,5000000000823,R. Okonjo
PRD-SAL901,Saltmarsh Original Bleach,SAL-901-A,Saltmarsh Original Bleach,true,hpc.cleaning.bleach,recyclable-packaging,16,true ,,United Kingdom,g,65%,sal-901-a-pack_front.svg,sal-901-a-detail.svg,704.0,01867869050675,
