product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.ingredients,pack.net_quantity,pack.unit,packaging.recyclable_pct,specs.battery_type,image.PACK_FRONT,image.DETAIL,GTIN_14,countryOfOrigin,Supplier Notes
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Permitted for sale,Allergens - contains,Allergens - may contain,Ingredients,Net quantity,Net quantity unit,Recyclable packaging (%),Cell type,Image - pack_front,Image - detail,GTIN,Country of origin,Supplier Notes
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to baby.feeding.bottles, baby.toys.activity, baby.toys.soft only",optional; safety - a person reviews any change; true or false,"required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '|'","required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '|'","optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only","optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only","optional; the number only, in % - never '65 %'","optional; safety - a person reviews any change; applies to baby.toys.activity, baby.toys.soft only",required; the file name as it appears in images/ inside the bundle,required; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-110,Hollowbrook Follow-On Milk 800 g,BAB-110-A,Hollowbrook Follow-On Milk 800 g,true ,baby.feeding.formula,peanut-free | gluten-free | recyclable-packaging,,true,milk,,skimmed milk | lactose | vegetable oils | whey protein,310.0,g,95,,bab-110-a-pack_front.svg,bab-110-a-detail.svg,5000000000074,India,
 PRD-142,Larkspur Silicone Teat 2 Pack,BAB-142-A,Larkspur Silicone Teat 2 Pack,true,baby.feeding.bottles,,DOC-CE-2738,Y,,,,410.0,g,79 %,,bab-142-a-pack_front.svg,bab-142-a-detail.svg,5000000000298,Italy,checked 02/26
PRD-142,Larkspur Silicone Teat 2 Pack,BAB-142-C,Larkspur Silicone Teat 2 Pack Large Pack,false ,baby.feeding.bottles,made-in-britain,CE-2024-58358 ,true ,,,,"1,050 ",g,60,,bab-142-c-pack_front.svg,bab-142-c-detail.svg,5000000000312 ,United Kingdom,as agreed with buying
 PRD-158,Larkspur Newborn Nappies Size 1,BAB-158-A,Larkspur Newborn Nappies Size 1,true,baby.nappies.nappies,,,true,,,,1100.0,ml,94 %,,bab-158-a-pack_front.svg,bab-158-a-detail.svg,5000000000410,China,
PRD-174,Larkspur Soft Bunny Comforter,BAB-174-A ,Larkspur Soft Bunny Comforter,true,baby.toys.soft,,BS-EN-2762,true,,,,,,N/A,CR2032 coin cell,bab-174-a-pack_front.svg ,bab-174-a-detail.svg,5000000000522,Republic of Ireland,
PRD-174,Larkspur Soft Bunny Comforter,BAB-174-B,Larkspur Soft Bunny Comforter Multipack,FALSE,baby.toys.soft,,EN71-3-2746,true,,,,,,N/A,Lithium-ion 3.7 V 2000 mAh,bab-174-b-pack_front.svg,bab-174-b-detail.svg,5000000000529 ,Viet Nam,checked 02/26
PRD-174,Larkspur Soft Bunny Comforter ,BAB-174-C,Larkspur Soft Bunny Comforter Large Pack,false ,baby.toys.soft,,UKCA-2946,true,,,,,,,Lithium-ion 3.7 V 2000 mAh ,bab-174-c-pack_front.svg,bab-174-c-detail.svg,5000000000536,China,as agreed with buying
PRD-182,Larkspur Plush Activity Elephant,BAB-182-A,Larkspur Plush Activity Elephant,true,baby.toys.soft,,BS-EN-2723,true,,,,,,,Lithium-ion 3.7 V 2000 mAh ,bab-182-a-pack_front.svg,bab-182-a-detail.svg,5000000000578,Turkey,
