Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
BAB-110-A,Hollowbrook Follow-On Milk 800 g,6,188.25,GBP,8
BAB-142-A,Larkspur Silicone Teat 2 Pack,12,220.06,GBP,26
BAB-142-C,Larkspur Silicone Teat 2 Pack,1,24.38,GBP,23
BAB-158-A,Larkspur Newborn Nappies Size 1,24,17.76,GBP,19
BAB-174-A,Larkspur Soft Bunny Comforter,1,180.60,GBP,33
BAB-174-B,Larkspur Soft Bunny Comforter,6,38.26,GBP,40
BAB-174-C,Larkspur Soft Bunny Comforter,1,161.70,GBP,7
BAB-182-A,Larkspur Plush Activity Elephant,24,35.60,GBP,18
BAB-182-B,Larkspur Plush Activity Elephant,24,60.11,GBP,44
BAB-182-C,Larkspur Plush Activity Elephant,6,168.90,GBP,9
BAB-198-A,Larkspur Shape Sorter Cube,12,163.57,GBP,8
BAB-198-B,Larkspur Shape Sorter Cube,6,43.51,GBP,20
BAB-134-A,Larkspur Anti-Colic Bottle 260 ml,1,210.46,GBP,12
BAB-142-B,Larkspur Silicone Teat 2 Pack,1,144.52,GBP,6
HOL-901-A,Hollowbrook Wide Neck Bottle,12,19.69,GBP,15
HOL-902-A,Hollowbrook Hungry Baby Milk,6,179.45,GBP,39
HOL-902-B,Hollowbrook Hungry Baby Milk,1,182.03,GBP,17
HOL-903-A,Hollowbrook Nappies Jumbo Pack,1,46.01,GBP,45
HOL-904-A,Hollowbrook Shape Sorter,12,105.85,GBP,26
HOL-905-A,Hollowbrook Comforter Blanket,24,62.01,GBP,39
HOL-906-A,Hollowbrook Fruit Pouch,1,71.90,GBP,21
HOL-906-B,Hollowbrook Fruit Pouch,1,212.56,GBP,31
