product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.certificate_ref | compliance.sale_permitted | food.allergens.contains | food.allergens.may_contain | food.ingredients | pack.net_quantity | pack.unit | packaging.recyclable_pct | specs.battery_type | image.PACK_FRONT | image.DETAIL | GTIN_14 | countryOfOrigin | Case Qty
Product reference | Product name | SKU | Variant name | Base variant | Category | Claims | Conformity certificate | Permitted for sale | Allergens - contains | Allergens - may contain | Ingredients | Net quantity | Net quantity unit | Recyclable packaging (%) | Cell type | Image - pack_front | Image - detail | GTIN | Country of origin | Case Qty
required; your own id for the line; rows sharing one are variants of it | required; the line, as a shopper would see it | required; unique per row; what everybody outside your systems says | required; what distinguishes this row from its siblings | required; true on exactly one row per product reference | required; one of the codes on the Categories sheet | optional; one entry per cell, separated by '/' | optional; applies to baby.feeding.bottles, baby.toys.activity, baby.toys.soft only | optional; safety - a person reviews any change; true or false | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; safety - a person reviews any change; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | required by CH-WEB, CH-MKT-A, CH-MKT-B, CH-PRINT; order is part of the value; do not sort; applies to baby.feeding.formula, baby.feeding.weaning only; one entry per cell, separated by '/' | optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only | optional; applies to baby.feeding.bottles, baby.feeding.formula, baby.feeding.weaning, baby.nappies.nappies, and 1 more only | optional; the number only, in % - never '65 %' | optional; safety - a person reviews any change; applies to baby.toys.activity, baby.toys.soft only | required; the file name as it appears in images/ inside the bundle | required; the file name as it appears in images/ inside the bundle | optional | optional | optional
PRD-126 | Hollowbrook Vegetable Risotto 7 Months | BAB-126-A | Hollowbrook Vegetable Risotto 7 Months | TRUE | baby.feeding.weaning | peanut-free |  | true |  | gluten | pear puree / apple puree | 320.0 | g | 85 |  |  bab-126-a-pack_front.svg | bab-126-a-detail.svg | 5000000000186 | India | 6
PRD-150 | Larkspur Ultra Dry Nappies Size 4 |  BAB-150-A | Larkspur Ultra Dry Nappies Size 4 | true  | baby.nappies.nappies |  |  | true |  |  |  | 800.0 | g | 70 |  | bab-150-a-pack_front.svg | bab-150-a-detail.svg  | 5000000000354 | Republic of Ireland | 12
PRD-150 | Larkspur Ultra Dry Nappies Size 4 | BAB-150-B | Larkspur Ultra Dry Nappies Size 4 Multipack | false | baby.nappies.nappies  | recyclable-packaging  |  | true |  |  |  | 110.0 |  ml | 95 |  | bab-150-b-pack_front.svg | bab-150-b-detail.svg | 5000000000361 | China | 
PRD-126 | Hollowbrook Vegetable Risotto 7 Months | BAB-126-B | Hollowbrook Vegetable Risotto 7 Months Multipack | false | baby.feeding.weaning | peanut-free |  | true |  | gluten | pear puree / apple puree | 880.0 | g | N/A |  | bab-126-b-pack_front.svg | bab-126-b-detail.svg | 5000000000193 | China | 24
PRD-102 | Hollowbrook First Infant Milk 800 g | BAB-102-A | Hollowbrook First Infant Milk 800 g | true | baby.feeding.formula | peanut-free / gluten-free |  | true | milk  |  | skimmed milk / lactose / vegetable oils / whey protein | 780,0 | g | 80 |  | bab-102-a-pack_front.svg | bab-102-a-detail.svg | 5000000000018 | Italy | 6
PRD-118 | Hollowbrook Pear & Apple Pouch 4 Months | BAB-118-A | Hollowbrook Pear & Apple Pouch 4 Months  | true | baby.feeding.weaning | peanut-free |  | true |  | gluten | pear puree / apple puree | 1150.0 | g | 89 |  | bab-118-a-pack_front.svg | bab-118-a-detail.svg | 5000000000130 | China |  12
PRD-166 | Larkspur Fragrance Free Baby Wipes 12 Pack | BAB-166-A | Larkspur Fragrance Free Baby Wipes 12 Pack  | true | baby.nappies.wipes |  |  | true |  |  |  | 330.0 | g | 45% |  | bab-166-a-pack_front.svg |  bab-166-a-detail.svg | 5000000000466 | Portugal | 
PRD-190 | Larkspur Wooden Stacking Rings | BAB-190-A | Larkspur Wooden Stacking Rings | true | baby.toys.activity |  |  | true |  |  |  |  |  | 79 | Lithium-ion 3.7 V 2000 mAh | bab-190-a-pack_front.svg | bab-190-a-detail.svg | 5000000000634 | Turkey  | 24
PRD-166 | Larkspur Fragrance Free Baby Wipes 12 Pack | BAB-166-B  | Larkspur Fragrance Free Baby Wipes 12 Pack Multipack | false | baby.nappies.wipes | clinically proven |  | false |  |  |  | 870.0 | g | 78 |  | bab-166-b-pack_front.svg | bab-166-b-detail.svg | 5000000000473 | Viet Nam | 6
PRD-166 | Larkspur Fragrance Free Baby Wipes 12 Pack | BAB-166-C | Larkspur Fragrance Free Baby Wipes 12 Pack Large Pack | false | baby.nappies.wipes | cures dry skin |  | false  |  |  |  | 490.0 | g | 35 |  | bab-166-c-pack_front.svg | bab-166-c-detail.svg | 5000000000480 | Italy |  12
