Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HEA-122-B,Thorneley Loratadine 10 mg 30 Tablets,24,166.76,GBP,39
HEA-122-C,Thorneley Loratadine 10 mg 30 Tablets,6,21.85,GBP,19
HEA-146-A,Ashcombe Vitamin D 25 µg 90 Tablets,24,222.01,GBP,11
HEA-146-B,Ashcombe Vitamin D 25 µg 90 Tablets,12,125.25,GBP,13
HEA-162-A,Ashcombe Iron & Vitamin C 60 Tablets,12,38.00,GBP,6
HEA-162-B,Ashcombe Iron & Vitamin C 60 Tablets,6,198.65,GBP,24
HEA-170-A,Ashcombe Magnesium 375 mg 60 Tablets,12,181.01,GBP,15
HEA-170-B,Ashcombe Magnesium 375 mg 60 Tablets,12,111.75,GBP,33
HEA-194-A,Ravensmoor Home First Aid Kit,24,68.53,GBP,12
HEA-122-A,Thorneley Loratadine 10 mg 30 Tablets,12,110.42,GBP,33
HEA-138-A,Thorneley Cold & Flu Relief Sachets 10 Pack,1,225.82,GBP,42
HEA-170-C,Ashcombe Magnesium 375 mg 60 Tablets,1,92.95,GBP,21
HEA-202-A,Ravensmoor Fabric Plasters 40 Pack,6,168.87,GBP,45
THO-901-A,Thorneley Crepe Bandage,6,204.41,GBP,42
THO-902-A,Thorneley Nasal Spray,24,212.34,GBP,6
THO-903-A,Thorneley Throat Lozenges,12,183.84,GBP,28
THO-904-A,Thorneley Iron Tablets,24,53.55,GBP,45
THO-904-B,Thorneley Iron Tablets,12,57.97,GBP,7
THO-905-A,Thorneley Multivitamin Tablets,24,15.74,GBP,5
THO-906-A,Thorneley Non Contact Thermometer,12,177.61,GBP,19
