Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
HEA-114-B,Thorneley Ibuprofen 200 mg 16 Tablets,12,22.56,GBP,22
HEA-114-C,Thorneley Ibuprofen 200 mg 16 Tablets,1,167.46,GBP,39
HEA-130-A,Thorneley Hayfever Relief Nasal Spray,24,91.71,GBP,43
HEA-106-B,Thorneley Paracetamol 500 mg 16 Tablets,24,211.42,GBP,11
HEA-114-A,Thorneley Ibuprofen 200 mg 16 Tablets,24,207.34,GBP,28
HEA-106-A,Thorneley Paracetamol 500 mg 16 Tablets,24,233.21,GBP,20
HEA-106-C,Thorneley Paracetamol 500 mg 16 Tablets,12,144.08,GBP,43
HEA-130-B,Thorneley Hayfever Relief Nasal Spray,6,198.06,GBP,22
HEA-178-B,Ravensmoor Digital Ear Thermometer,24,237.19,GBP,38
HEA-186-A,Ravensmoor Forehead Thermometer,1,40.53,GBP,21
HEA-154-A,Ashcombe Multivitamin & Mineral 60 Tablets,1,159.88,GBP,3
HEA-178-A,Ravensmoor Digital Ear Thermometer,24,160.96,GBP,40
RAV-901-A,Ravensmoor Non Contact Thermometer,1,107.59,GBP,12
RAV-902-A,Ravensmoor Hayfever Relief,24,220.20,GBP,19
RAV-903-A,Ravensmoor Paracetamol Tablets,12,163.90,GBP,8
RAV-903-B,Ravensmoor Paracetamol Tablets,1,183.81,GBP,37
RAV-904-A,Ravensmoor Vitamin C Effervescent,12,24.54,GBP,9
RAV-905-A,Ravensmoor Instant Cold Pack,24,43.63,GBP,42
RAV-906-A,Ravensmoor Decongestant Tablets,24,76.11,GBP,24
RAV-906-B,Ravensmoor Decongestant Tablets,12,163.95,GBP,26
