Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
GEN-105-B,Draycott Family Quiz Board Game,24,88.92,GBP,40
GEN-113-A,Draycott 1000 Piece Jigsaw Puzzle,24,230.98,GBP,11
GEN-113-B,Draycott 1000 Piece Jigsaw Puzzle,24,13.47,GBP,35
GEN-145-A,Fenwold Telescopic Hedge Shears,1,1.67,GBP,35
GEN-153-A,Fenwold Charcoal Kettle Barbecue,24,122.30,GBP,6
GEN-161-A,Fenwold Two Burner Gas Barbecue,12,213.84,GBP,28
GEN-208-A,Fenwold Claw Hammer 16 oz,24,127.41,GBP,35
GEN-105-A,Draycott Family Quiz Board Game,6,238.81,GBP,16
GEN-208-B,Fenwold Claw Hammer 16 oz,24,132.81,GBP,35
GEN-231-A,Ashcombe A5 Ruled Notebook 3 Pack,12,10.55,GBP,3
GEN-231-B,Ashcombe A5 Ruled Notebook 3 Pack,12,19.60,GBP,30
DRA-901-A,Draycott Utility Knife,12,47.32,GBP,13
DRA-902-A,Draycott Charcoal Kettle BBQ,24,115.75,GBP,33
DRA-903-A,Draycott Border Spade,1,173.35,GBP,23
DRA-903-B,Draycott Border Spade,1,197.53,GBP,7
DRA-904-A,Draycott Hardback Notebook,6,232.64,GBP,40
DRA-905-A,Draycott Card Game,1,118.15,GBP,41
DRA-906-A,Draycott Primer Undercoat,6,40.04,GBP,4
DRA-906-B,Draycott Primer Undercoat,24,50.34,GBP,23
