product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,origin.country,pack.unit,specs.battery_type,image.HERO,image.DETAIL,netContent,GTIN_14,Case Qty,specs.power_w
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Country of origin,Net quantity unit,Cell type,Image - hero,Image - detail,Net quantity,GTIN,Case Qty,Rated power
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to general.diy.handtools, general.diy.paint, general.garden.bbq, general.garden.tools, and 2 more only","optional; safety - a person reviews any change; applies to general.diy.handtools only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,optional,"optional; applies to general.diy.paint, general.pet.accessories, general.pet.dogfood only","optional; safety - a person reviews any change; applies to general.toys.games, general.toys.outdoor only",required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional,optional
PRD-105,Draycott Family Quiz Board Game,GEN-105-B,Draycott Family Quiz Board Game Plus,false,general.toys.games,,EN71-3-2676,,true,Portugal,,2 x AA alkaline,gen-105-b-hero.svg,gen-105-b-detail.svg,,5000000000046,6,1400
PRD-113,Draycott 1000 Piece Jigsaw Puzzle,GEN-113-A,Draycott 1000 Piece Jigsaw Puzzle,true,general.toys.games,,BS-EN-2482 ,,true,China,,CR2032 coin cell,gen-113-a-hero.svg,gen-113-a-detail.svg,,5000000000095,12 ,1400
PRD-113,Draycott 1000 Piece Jigsaw Puzzle,GEN-113-B,Draycott 1000 Piece Jigsaw Puzzle Plus,false,general.toys.games,,DOC-CE-2778,,true,Turkey,,2 x AA alkaline,gen-113-b-hero.svg,gen-113-b-detail.svg,, 5000000000102,,
PRD-145,Fenwold Telescopic Hedge Shears,GEN-145-A,Fenwold Telescopic Hedge Shears,true,general.garden.tools ,,DOC-CE-2755,,true,India,,, gen-145-a-hero.svg, gen-145-a-detail.svg,,5000000000319,24,
PRD-153,Fenwold Charcoal Kettle Barbecue ,GEN-153-A,Fenwold Charcoal Kettle Barbecue ,true,general.garden.bbq,,BS-EN-2726,,true ,Poland,,,gen-153-a-hero.svg,gen-153-a-detail.svg,,5000000000375,6,
PRD-161,Fenwold Two Burner Gas Barbecue,GEN-161-A ,Fenwold Two Burner Gas Barbecue,true,general.garden.bbq,,BS-EN-2453,,Yes,Republic of Ireland,,, gen-161-a-hero.svg,gen-161-a-detail.svg,,5000000000431,12,
 PRD-208,Fenwold Claw Hammer 16 oz,GEN-208-A,Fenwold Claw Hammer 16 oz,true,general.diy.handtools,,BS-EN-2550,18,true,China,,,gen-208-a-hero.svg,gen-208-a-detail.svg,,5000000000760,,
PRD-105,Draycott Family Quiz Board Game,GEN-105-A,Draycott Family Quiz Board Game,true,general.toys.games,,,,true,Turkey,,2 x AA alkaline, gen-105-a-hero.svg,gen-105-a-detail.svg,,5000000000039,24,
PRD-208,Fenwold Claw Hammer 16 oz,GEN-208-B,Fenwold Claw Hammer 16 oz Plus,false,general.diy.handtools,,,18,true,Viet Nam ,,,gen-208-b-hero.svg,gen-208-b-detail.svg,,5000000000767,6,
PRD-231,Ashcombe A5 Ruled Notebook 3 Pack,GEN-231-A,Ashcombe A5 Ruled Notebook 3 Pack,true,general.stationery.paper,clinically proven,,,No,India,,,gen-231-a-hero.svg,gen-231-a-detail.svg,,5000000000921,12,
PRD-231,Ashcombe A5 Ruled Notebook 3 Pack,GEN-231-B,Ashcombe A5 Ruled Notebook 3 Pack Plus,false,general.stationery.paper,cures dry skin,,,No,Italy,,,gen-231-b-hero.svg,gen-231-b-detail.svg,,5000000000928,,
PRD-DRA901,Draycott Utility Knife,DRA-901-A,Draycott Utility Knife,true,general.diy.handtools,made-in-britain,CE-2025-78898,16 ,true ,Czechia,,,dra-901-a-hero.svg,dra-901-a-detail.svg,,07992252439038,24,
PRD-DRA902,Draycott Charcoal Kettle BBQ,DRA-902-A,Draycott Charcoal Kettle BBQ,true,general.garden.bbq,made-in-britain,CE-2026-15896,,true,,,,dra-902-a-hero.svg ,dra-902-a-detail.svg ,,06484031062059,6,
 PRD-DRA903,Draycott Border Spade,DRA-903-A ,Draycott Border Spade,true,general.garden.tools,made-in-britain,CE-2025-84742,,,India,,,dra-903-a-hero.svg,dra-903-a-detail.svg,,06270092031741,12,
PRD-DRA903 ,Draycott Border Spade,DRA-903-B,Draycott Border Spade Single,false, general.garden.tools,made-in-britain,CE-2026-51166,,true,Portugal,,,dra-903-b-hero.svg,dra-903-b-detail.svg,,06349614466090,,
PRD-DRA904, Draycott Hardback Notebook,DRA-904-A,Draycott Hardback Notebook,true,general.stationery.paper,made-in-britain,,,true ,United Kingdom,,,dra-904-a-hero.svg,dra-904-a-detail.svg,,07700413826832,24,
PRD-DRA905,Draycott Card Game,DRA-905-A,Draycott Card Game,true,general.toys.games,made-in-britain,CE-2026-20997,,true,Spain,,CR2032 coin cell,dra-905-a-hero.svg,dra-905-a-detail.svg,,09877049010508,6,
PRD-DRA906,Draycott Primer Undercoat,DRA-906-A,Draycott Primer Undercoat,true,general.diy.paint,made-in-britain, CE-2025-38275,,true,,ml,,dra-906-a-hero.svg,dra-906-a-detail.svg,549.0,09765576876363,12,
PRD-DRA906,Draycott Primer Undercoat,DRA-906-B,Draycott Primer Undercoat Refill,N,general.diy.paint,made-in-britain,CE-2024-15500,,true,Republic of Ireland,ml,,dra-906-b-hero.svg,dra-906-b-detail.svg,1177.0,01527364249923,,
