Item Code,Description,Pack,Cost Price,Currency,Lead Time (days)
GEN-129-A,Draycott Paddling Pool 2 m,24,219.37,GBP,14
GEN-137-A,Fenwold Stainless Garden Spade,6,119.15,GBP,3
GEN-137-B,Fenwold Stainless Garden Spade,1,111.78,GBP,18
GEN-137-C,Fenwold Stainless Garden Spade,1,37.01,GBP,7
GEN-169-C,Ashcombe Complete Dry Dog Food Chicken 3 kg,6,3.14,GBP,32
GEN-177-A,Ashcombe Dog Food Trays Mixed 12 x 150 g,1,82.79,GBP,28
GEN-185-A,Ashcombe Padded Dog Harness Medium,12,38.65,GBP,7
GEN-185-B,Ashcombe Padded Dog Harness Medium,6,209.13,GBP,35
GEN-185-C,Ashcombe Padded Dog Harness Medium,6,212.24,GBP,42
GEN-193-A,Ashcombe Cat Scratching Post 50 cm,24,141.64,GBP,6
GEN-193-B,Ashcombe Cat Scratching Post 50 cm,6,139.33,GBP,4
GEN-193-C,Ashcombe Cat Scratching Post 50 cm,1,145.09,GBP,4
GEN-214-B,Ashcombe Matt Emulsion Paint White 2.5 L,6,72.63,GBP,37
GEN-220-A,Ashcombe Gloss Wood Paint 750 ml,6,52.05,GBP,28
GEN-226-A,Ashcombe A4 Printer Paper 500 Sheets,1,209.60,GBP,8
GEN-214-A,Ashcombe Matt Emulsion Paint White 2.5 L,24,69.41,GBP,42
GEN-169-B,Ashcombe Complete Dry Dog Food Chicken 3 kg,6,31.11,GBP,29
GEN-169-A,Ashcombe Complete Dry Dog Food Chicken 3 kg,1,155.11,GBP,33
GEN-121-A,Draycott Garden Trampoline 8 ft,6,157.81,GBP,4
GEN-121-B,Draycott Garden Trampoline 8 ft,6,182.89,GBP,4
GEN-121-C,Draycott Garden Trampoline 8 ft,6,6.65,GBP,14
GEN-201-A,Fenwold 12 Piece Screwdriver Set,6,212.31,GBP,31
GEN-201-B,Fenwold 12 Piece Screwdriver Set,1,161.30,GBP,8
GEN-226-B,Ashcombe A4 Printer Paper 500 Sheets,6,105.87,GBP,42
GEN-226-C,Ashcombe A4 Printer Paper 500 Sheets,24,196.62,GBP,45
FEN-901-A,Fenwold Claw Hammer,1,148.96,GBP,10
FEN-902-A,Fenwold Primer Undercoat,1,131.05,GBP,3
FEN-903-A,Fenwold Border Spade,6,96.50,GBP,35
FEN-904-A,Fenwold Grooming Brush,6,87.56,GBP,28
FEN-904-B,Fenwold Grooming Brush,1,133.80,GBP,43
FEN-905-A,Fenwold Puppy Dry Food,1,15.89,GBP,19
FEN-905-B,Fenwold Puppy Dry Food,1,21.94,GBP,40
FEN-906-A,Fenwold Hardback Notebook,24,133.93,GBP,26
