product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,pack.net_quantity,pack.unit,specs.battery_type,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,Buyer
Product reference,Product name,SKU,Variant name,Base variant,Category,Claims,Conformity certificate,Minimum age (years),Permitted for sale,Net quantity,Net quantity unit,Cell type,Image - hero,Image - detail,GTIN,Country of origin,Buyer
required; your own id for the line; rows sharing one are variants of it,"required; the line, as a shopper would see it",required; unique per row; what everybody outside your systems says,required; what distinguishes this row from its siblings,required; true on exactly one row per product reference,required; one of the codes on the Categories sheet,"optional; one entry per cell, separated by '|'","optional; applies to general.diy.handtools, general.diy.paint, general.garden.bbq, general.garden.tools, and 2 more only","optional; safety - a person reviews any change; applies to general.diy.handtools only; the number only, in years - never '65 years'",optional; safety - a person reviews any change; true or false,"optional; applies to general.diy.paint, general.pet.accessories, general.pet.dogfood only","optional; applies to general.diy.paint, general.pet.accessories, general.pet.dogfood only","optional; safety - a person reviews any change; applies to general.toys.games, general.toys.outdoor only",required; the file name as it appears in images/ inside the bundle,optional; the file name as it appears in images/ inside the bundle,optional,optional,optional
PRD-129,Draycott Paddling Pool 2 m,GEN-129-A,Draycott Paddling Pool 2 m,true,general.toys.outdoor,,UKCA-2966,,true,,,Lithium-ion 3.7 V 2000 mAh,gen-129-a-hero.svg,gen-129-a-detail.svg,5000000000207,Turkey,A. Whitfield
PRD-137,Fenwold Stainless Garden Spade,GEN-137-A,Fenwold Stainless Garden Spade,true,general.garden.tools,,EN71-3-2998,,true,,,,gen-137-a-hero.svg,gen-137-a-detail.svg,5000000000263,India,
PRD-137,Fenwold Stainless Garden Spade,GEN-137-B,Fenwold Stainless Garden Spade Plus,false,general.garden.tools,,EN71-3-2851,,true,,,,gen-137-b-hero.svg,gen-137-b-detail.svg,5000000000270,Viet Nam,R. Okonjo
PRD-137,Fenwold Stainless Garden Spade,GEN-137-C,Fenwold Stainless Garden Spade Max,false,general.garden.tools,made-in-britain,DOC-CE-2859,,Yes,,,,gen-137-c-hero.svg,gen-137-c-detail.svg,5000000000277,United Kingdom,
PRD-169,Ashcombe Complete Dry Dog Food Chicken 3 kg,GEN-169-C,Ashcombe Complete Dry Dog Food Chicken 3 kg Large Pack,false,general.pet.dogfood,,,,true,730.0,g,,gen-169-c-hero.svg,gen-169-c-detail.svg,5000000000501,China,A. Whitfield
PRD-177,Ashcombe Dog Food Trays Mixed 12 x 150 g,GEN-177-A ,Ashcombe Dog Food Trays Mixed 12 x 150 g ,Yes,general.pet.dogfood,,,,true,310.0,g,,gen-177-a-hero.svg,gen-177-a-detail.svg,5000000000543,China,
PRD-185,Ashcombe Padded Dog Harness Medium,GEN-185-A,Ashcombe Padded Dog Harness Medium,true ,general.pet.accessories,,,,true,250.0,g,,gen-185-a-hero.svg,gen-185-a-detail.svg,5000000000599 ,Republic of Ireland,R. Okonjo
PRD-185,Ashcombe Padded Dog Harness Medium,GEN-185-B, Ashcombe Padded Dog Harness Medium Multipack,false,general.pet.accessories,,,,true,1010.0, g,,gen-185-b-hero.svg ,gen-185-b-detail.svg,5000000000606 ,Poland,
